B_i,B_j,B_ij
0,0,2.946097e+00
1,0,2.857066e+00
2,0,2.108985e+00
3,0,2.028876e+00
4,0,1.516007e+00
5,0,1.266548e+00
6,0,9.738092e-01
7,0,5.383347e-01
8,0,5.104032e-01
9,0,1.534326e+00
10,0,9.827035e-02
11,0,1.876854e-01
12,0,2.977080e-01
13,0,2.157806e-01
14,0,1.573619e-01
15,0,4.591590e-01
16,0,1.370839e-01
17,0,9.893157e-02
18,0,7.069822e-01
19,0,7.567182e-02
20,0,7.330569e-02
21,0,-2.955850e-03
22,0,1.495641e-01
23,0,1.818476e-01
24,0,2.810850e-02
25,0,1.035399e-01
26,0,-1.574710e-02
27,0,7.165393e-01
28,0,9.231234e-02
29,0,8.127171e-02
30,0,2.442514e-01
31,0,7.334311e-02
32,0,9.365091e-02
33,0,4.161963e-02
34,0,5.975789e-02
35,0,2.201102e-03
36,0,5.768262e-01
37,0,8.792389e-02
38,0,7.923242e-02
39,0,2.950401e-01
40,0,1.190436e-01
41,0,1.688199e-01
42,0,2.104191e-01
43,0,5.271840e-02
44,0,5.872664e-02
45,0,1.185387e+00
46,0,2.204230e-01
47,0,5.641988e-01
48,0,9.196678e-01
49,0,1.395419e+00
50,0,1.611265e+00
51,0,1.767074e+00
52,0,2.157845e+00
53,0,2.229815e+00
54,0,2.737194e+00
55,0,2.554109e+00
56,0,2.095180e+00
57,0,1.789840e+00
58,0,1.796365e+00
59,0,1.421437e+00
60,0,8.236598e-01
61,0,7.549180e-01
62,0,5.165437e-01
63,0,1.909516e-01
64,0,7.095592e-01
65,0,2.086412e-02
66,0,3.973651e-02
67,0,4.672538e-02
68,0,6.337697e-02
69,0,5.422077e-02
70,0,4.214362e-02
71,0,2.935963e-02
72,0,1.873698e-02
73,0,3.771216e-02
74,0,-1.676064e-02
75,0,-2.759906e-02
76,0,-2.578042e-02
77,0,-3.395891e-02
78,0,-3.584667e-02
79,0,-3.490018e-02
80,0,-2.636762e-02
81,0,-2.940296e-02
82,0,-8.350683e-02
83,0,-5.427211e-03
84,0,-2.552713e-03
85,0,-1.684396e-02
86,0,-1.900541e-02
87,0,5.120981e-03
88,0,-3.765819e-04
89,0,1.450042e-02
90,0,-1.883060e-03
91,0,1.719740e-02
92,0,4.324741e-03
93,0,1.360313e-02
94,0,-9.782383e-03
95,0,-1.512162e-02
96,0,-3.591001e-02
97,0,-2.710629e-02
98,0,-2.873151e-02
99,0,-3.576308e-02
100,0,6.752906e-01
101,0,2.851462e-01
102,0,3.908862e-01
103,0,7.443403e-01
104,0,1.116178e+00
105,0,1.321933e+00
106,0,1.837964e+00
107,0,2.039122e+00
108,0,2.684403e+00
109,0,2.944763e+00
110,0,2.389987e+00
111,0,1.979912e+00
112,0,1.659552e+00
113,0,1.254347e+00
114,0,1.054008e+00
115,0,8.131855e-01
116,0,5.733735e-01
117,0,4.938039e-01
118,0,1.520652e-01
119,0,5.785419e-01
120,0,2.307331e-02
121,0,6.665043e-02
122,0,7.670424e-02
123,0,7.777587e-02
124,0,9.804103e-02
125,0,8.138767e-02
126,0,7.939076e-02
127,0,6.261228e-02
128,0,2.154375e-01
129,0,3.377806e-02
130,0,4.297753e-02
131,0,4.598291e-02
132,0,4.964830e-02
133,0,3.504182e-02
134,0,2.569720e-02
135,0,1.650986e-02
136,0,2.239569e-02
137,0,-2.931689e-02
138,0,-2.757694e-02
139,0,-2.641204e-02
140,0,-3.227248e-02
141,0,-6.125428e-02
142,0,-4.405287e-02
143,0,-3.756018e-02
144,0,-1.914771e-02
145,0,-4.034272e-02
146,0,2.318808e-02
147,0,1.633748e-02
148,0,1.024734e-02
149,0,3.093361e-02
150,0,1.238320e-02
151,0,2.620921e-02
152,0,3.891338e-03
153,0,3.038628e-02
154,0,1.231498e-02
155,0,7.458648e-01
156,0,2.002996e-01
157,0,6.580339e-01
158,0,9.387730e-01
159,0,1.282056e+00
160,0,1.603660e+00
161,0,1.752646e+00
162,0,2.047592e+00
163,0,2.698756e+00
164,0,2.985192e+00
165,0,2.408366e+00
166,0,2.035780e+00
167,0,1.718093e+00
168,0,1.410884e+00
