B_i,B_j,B_ij
0,0,2.946097e+00
1,0,2.856598e+00
2,0,2.107955e+00
3,0,2.028535e+00
4,0,1.516203e+00
5,0,1.266647e+00
6,0,9.745096e-01
7,0,5.371802e-01
8,0,5.106025e-01
9,0,1.535284e+00
10,0,9.880060e-02
11,0,1.876627e-01
12,0,2.973106e-01
13,0,2.175375e-01
14,0,1.565718e-01
15,0,4.591246e-01
16,0,1.369337e-01
17,0,9.994476e-02
18,0,7.070757e-01
19,0,7.550244e-02
20,0,7.412253e-02
21,0,-3.451861e-03
22,0,1.477886e-01
23,0,1.802979e-01
24,0,2.774743e-02
25,0,1.034862e-01
26,0,-1.563192e-02
27,0,7.139722e-01
28,0,9.163510e-02
29,0,8.170793e-02
30,0,2.458862e-01
31,0,7.436559e-02
32,0,9.492275e-02
33,0,4.082544e-02
34,0,6.064269e-02
35,0,2.061991e-03
36,0,5.774301e-01
37,0,8.848532e-02
38,0,7.897244e-02
39,0,2.940758e-01
40,0,1.182025e-01
41,0,1.664230e-01
42,0,2.095854e-01
43,0,5.260857e-02
44,0,5.980543e-02
45,0,1.186252e+00
46,0,2.192460e-01
47,0,5.644361e-01
48,0,9.196952e-01
49,0,1.396052e+00
50,0,1.612454e+00
51,0,1.767257e+00
52,0,2.158045e+00
53,0,2.229880e+00
54,0,2.737194e+00
55,0,2.554109e+00
56,0,2.094198e+00
57,0,1.788521e+00
58,0,1.798215e+00
59,0,1.419587e+00
60,0,8.244093e-01
61,0,7.550140e-01
62,0,5.159903e-01
63,0,1.882555e-01
64,0,7.096058e-01
65,0,2.290474e-02
66,0,3.818011e-02
67,0,4.558400e-02
68,0,5.066869e-02
69,0,6.346807e-02
70,0,5.253231e-02
71,0,3.516507e-02
72,0,1.747905e-02
73,0,3.476374e-02
74,0,-1.042854e-02
75,0,-2.317328e-02
76,0,-3.094449e-02
77,0,-3.684159e-02
78,0,-3.828459e-02
79,0,-3.621157e-02
80,0,-2.825931e-02
81,0,-1.849705e-02
82,0,-8.766281e-02
83,0,-8.579680e-04
84,0,-6.839978e-03
85,0,-9.494422e-03
86,0,-7.911396e-03
87,0,6.936520e-04
88,0,2.827782e-03
89,0,5.978372e-03
90,0,2.525763e-03
91,0,1.826062e-02
92,0,-1.418269e-03
93,0,-4.816722e-03
94,0,-1.021112e-02
95,0,-1.686651e-02
96,0,-2.599968e-02
97,0,-2.727230e-02
98,0,-2.566864e-02
99,0,-1.982658e-02
100,0,6.757400e-01
101,0,2.865941e-01
102,0,3.912587e-01
103,0,7.439339e-01
104,0,1.116664e+00
105,0,1.321249e+00
106,0,1.837775e+00
107,0,2.041148e+00
108,0,2.683986e+00
109,0,2.944763e+00
110,0,2.389987e+00
111,0,1.976768e+00
112,0,1.659392e+00
113,0,1.251863e+00
114,0,1.053991e+00
115,0,8.176077e-01
116,0,5.721565e-01
117,0,4.923106e-01
118,0,1.537259e-01
119,0,5.779647e-01
120,0,3.089590e-02
121,0,5.391844e-02
122,0,7.719779e-02
123,0,8.928785e-02
124,0,9.565710e-02
125,0,9.580428e-02
126,0,6.603933e-02
127,0,4.236203e-02
128,0,2.087715e-01
129,0,3.212062e-02
130,0,4.550123e-02
131,0,4.839025e-02
132,0,4.840976e-02
133,0,3.911580e-02
134,0,2.568158e-02
135,0,1.738624e-02
136,0,1.744971e-03
137,0,-4.515661e-02
138,0,-1.754221e-02
139,0,-2.917673e-02
140,0,-3.778431e-02
141,0,-3.674068e-02
142,0,-2.912948e-02
143,0,-2.589447e-02
144,0,-1.547981e-02
145,0,-3.539427e-03
146,0,3.349409e-03
147,0,5.491535e-03
148,0,1.118216e-02
149,0,2.064333e-02
150,0,2.051145e-02
151,0,2.090577e-02
152,0,1.767639e-02
153,0,1.267095e-02
154,0,1.222145e-02
155,0,7.467210e-01
156,0,2.002777e-01
157,0,6.565970e-01
158,0,9.070270e-01
159,0,1.281846e+00
160,0,1.603715e+00
161,0,1.752525e+00
162,0,2.048293e+00
163,0,2.699108e+00
164,0,2.985192e+00
165,0,2.408366e+00
166,0,2.034365e+00
167,0,1.719052e+00
168,0,1.410849e+00
169,0,1.132877e+00
170,0,8.455852e-01
171,0,6.887749e-01
172,0,4.411926e-01
173,0,1.841181e-01
174,0,6.945428e-01
175,0,4.797955e-02
176,0,8.266388e-02
177,0,1.111794e-01
178,0,1.152595e-01
179,0,1.161344e-01
180,0,1.003768e-01
181,0,7.090405e-02
182,0,4.323384e-02
183,0,2.221185e-01
184,0,2.919150e-02
185,0,4.812282e-02
186,0,6.001597e-02
187,0,6.087201e-02
188,0,6.036801e-02
189,0,4.929422e-02
190,0,3.893353e-02
191,0,2.521015e-02
192,0,1.822491e-01
193,0,2.715239e-02
194,0,5.776698e-02
195,0,7.777700e-02
196,0,9.796522e-02
197,0,1.038034e-01
198,0,7.867995e-02
199,0,6.868621e-02
200,0,4.315755e-02
201,0,2.024474e-01
202,0,2.178354e-02
203,0,3.474223e-02
204,0,4.184480e-02
205,0,3.764786e-02
206,0,3.008796e-02
207,0,3.052327e-02
208,0,2.400970e-02
209,0,1.426951e-02
210,0,7.714104e-01
211,0,2.296592e-01
212,0,4.768874e-01
213,0,8.509010e-01
214,0,1.012208e+00
215,0,1.328523e+00
216,0,1.599522e+00
217,0,2.048012e+00
218,0,2.386071e+00
219,0,2.799020e+00
220,0,2.599123e+00
221,0,2.352252e+00
222,0,2.008656e+00
223,0,1.741586e+00
224,0,1.218934e+00
225,0,1.102290e+00
226,0,8.070114e-01
227,0,6.113606e-01
228,0,4.617431e-01
229,0,1.360480e+00
230,0,1.229313e-01
231,0,1.547333e-01
232,0,1.889351e-01
233,0,2.146706e-01
234,0,2.035143e-01
235,0,1.848504e-01
236,0,3.088543e-02
237,0,3.845837e-02
238,0,8.923414e-01
239,0,1.163070e-01
240,0,7.944612e-02
241,0,2.657906e-01
242,0,3.003384e-01
243,0,1.774174e-01
244,0,2.568303e-01
245,0,2.475864e-01
246,0,1.000433e-01
247,0,9.948011e-01
248,0,8.528716e-02
249,0,1.749393e-01
250,0,2.966089e-01
251,0,2.792713e-01
252,0,2.188462e-01
253,0,2.772618e-01
254,0,1.665837e-01
255,0,4.022074e-02
256,0,8.203022e-01
257,0,1.623877e-02
258,0,2.412450e-02
259,0,9.117880e-02
260,0,8.263377e-02
261,0,9.781290e-02
262,0,1.842610e-02
263,0,7.413402e-02
264,0,3.268524e-02
265,0,9.857955e-01
266,0,3.866158e-01
267,0,4.901375e-01
268,0,6.294310e-01
269,0,1.100228e+00
270,0,1.361204e+00
271,0,1.513004e+00
272,0,1.810657e+00
273,0,2.115155e+00
274,0,2.390221e+00
275,0,3.017546e+00
276,0,2.686346e+00
277,0,2.330384e+00
278,0,1.902734e+00
279,0,1.643099e+00
280,0,1.342195e+00
281,0,1.069872e+00
282,0,6.219865e-01
283,0,3.693641e-01
284,0,4.203116e-02
285,0,1.221659e-01
286,0,1.449570e-01
287,0,2.955434e-01
288,0,1.942867e-01
289,0,2.082041e-01
290,0,1.044712e-01
291,0,8.022580e-02
292,0,2.567160e-02
293,0,1.121970e-01
294,0,7.625192e-02
295,0,1.349976e-01
296,0,1.277488e-01
297,0,1.137732e-01
298,0,6.175037e-02
299,0,1.057503e-01
300,0,3.271585e-02
301,0,4.836344e-02
302,0,9.652067e-02
303,0,1.886594e-01
304,0,1.346630e-01
305,0,1.666149e-01
306,0,1.036513e-01
307,0,6.598006e-02
308,0,9.763206e-02
309,0,1.384073e-01
310,0,1.904206e-01
311,0,2.206477e-01
312,0,1.776847e-01
313,0,1.547690e-01
