B_i,B_j,B_ij
0,0,1.108366e+00
1,0,1.072494e+00
2,0,1.002404e+00
3,0,9.336939e-01
4,0,8.692610e-01
5,0,8.288568e-01
6,0,7.803794e-01
7,0,6.683653e-01
8,0,6.395858e-01
9,0,5.831741e-01
10,0,5.054895e-01
11,0,4.314216e-01
12,0,3.606051e-01
13,0,3.402188e-01
14,0,2.163731e-01
15,0,2.318068e-01
16,0,1.426306e-01
17,0,1.192194e-01
18,0,6.683861e-02
19,0,-2.917811e-02
20,0,-1.110734e-02
21,0,-7.793652e-02
22,0,-6.574390e-02
23,0,-7.826556e-02
24,0,-6.633013e-02
25,0,-1.048094e-01
26,0,-8.762413e-02
27,0,-7.289442e-02
28,0,-7.479526e-02
29,0,-3.327285e-02
30,0,-1.460279e+00
31,0,-9.541053e-02
32,0,-2.037807e-01
33,0,-2.965242e-01
34,0,-3.505298e-01
35,0,-4.202441e-01
36,0,-4.646160e-01
37,0,-5.561653e-01
38,0,-5.637862e-01
39,0,-5.914909e-01
40,0,-6.689464e-01
41,0,-6.655618e-01
42,0,-6.489135e-01
43,0,-6.628041e-01
44,0,-6.434880e-01
45,0,-6.596839e-01
46,0,-6.125556e-01
47,0,-6.497806e-01
48,0,-6.156992e-01
49,0,-5.243542e-01
50,0,-5.540367e-01
51,0,-5.199917e-01
52,0,-4.355079e-01
53,0,-3.636855e-01
54,0,-3.482676e-01
55,0,-2.769675e-01
56,0,-2.163095e-01
57,0,-1.783748e-01
58,0,-1.193209e-01
59,0,-5.464593e-02
60,0,-2.375023e-01
61,0,5.679032e-02
62,0,1.052333e-01
63,0,1.723458e-01
64,0,1.953761e-01
65,0,2.530636e-01
66,0,3.063785e-01
67,0,3.222262e-01
68,0,3.768081e-01
69,0,4.423932e-01
70,0,4.449387e-01
71,0,4.815932e-01
72,0,5.293000e-01
73,0,5.296021e-01
74,0,5.495395e-01
75,0,5.705466e-01
76,0,5.424480e-01
77,0,5.710440e-01
78,0,5.371684e-01
79,0,5.308576e-01
80,0,5.378330e-01
81,0,4.679408e-01
82,0,4.630118e-01
83,0,4.116491e-01
84,0,3.720514e-01
85,0,3.254536e-01
86,0,2.908396e-01
87,0,2.047176e-01
88,0,1.436853e-01
89,0,8.664589e-02
90,0,1.184351e+00
91,0,2.439363e-02
92,0,5.567307e-02
93,0,7.807274e-02
94,0,6.839886e-02
95,0,8.711506e-02
96,0,1.050098e-01
97,0,1.006888e-01
98,0,1.037699e-01
99,0,8.567388e-02
100,0,6.169691e-02
101,0,5.077021e-02
102,0,2.958487e-02
103,0,5.038894e-02
104,0,-2.398692e-03
105,0,1.712078e-02
106,0,-3.230074e-02
107,0,-4.545156e-02
108,0,-9.715667e-02
109,0,-8.311524e-02
110,0,-1.452163e-01
111,0,-1.452881e-01
112,0,-1.723035e-01
113,0,-1.861501e-01
114,0,-2.307710e-01
115,0,-2.201482e-01
116,0,-2.524305e-01
117,0,-2.647171e-01
118,0,-2.680521e-01
119,0,-2.825842e-01
120,0,-2.928488e-01
121,0,-5.609756e-01
122,0,-6.319940e-01
123,0,-6.614680e-01
124,0,-7.502066e-01
125,0,-7.732166e-01
126,0,-8.326380e-01
127,0,-8.773787e-01
128,0,-9.011381e-01
129,0,-9.600514e-01
130,0,-9.905883e-01
131,0,-1.011098e+00
132,0,-9.743233e-01
133,0,-1.042142e+00
134,0,-1.002284e+00
135,0,-9.727842e-01
136,0,-9.697441e-01
137,0,-9.982184e-01
138,0,-9.748987e-01
139,0,-9.151287e-01
140,0,-8.403353e-01
141,0,-8.471530e-01
142,0,-8.167779e-01
143,0,-6.953633e-01
144,0,-6.838065e-01
145,0,-5.794686e-01
146,0,-4.942067e-01
147,0,-4.250076e-01
148,0,-3.384337e-01
149,0,-2.432471e-01
150,0,-1.458038e-01
151,0,-1.294365e+00
152,0,-2.541693e-02
153,0,-4.746834e-02
154,0,-5.662542e-02
155,0,-6.384013e-02
156,0,-7.008859e-02
157,0,-7.116687e-02
158,0,-6.578117e-02
159,0,-5.296267e-02
160,0,-4.046399e-02
161,0,-3.457670e-02
162,0,4.077463e-03
163,0,8.993459e-03
164,0,2.337368e-02
165,0,3.040887e-02
166,0,5.552793e-02
167,0,6.245867e-02
168,0,7.370819e-02
169,0,9.733449e-02
170,0,1.205611e-01
171,0,1.173413e-01
172,0,1.169153e-01
173,0,1.380919e-01
174,0,1.326891e-01
175,0,1.333139e-01
176,0,1.134332e-01
177,0,1.214149e-01
178,0,9.182991e-02
179,0,6.796478e-02
180,0,3.851583e-02
181,0,1.072229e+00
182,0,8.087854e-02
183,0,1.384337e-01
184,0,1.942717e-01
185,0,2.678622e-01
186,0,2.973646e-01
187,0,3.516396e-01
188,0,3.816763e-01
189,0,4.339929e-01
190,0,4.528260e-01
191,0,4.528814e-01
192,0,4.782573e-01
193,0,4.712409e-01
194,0,4.979092e-01
195,0,5.006684e-01
196,0,4.824653e-01
197,0,4.575290e-01
198,0,4.596553e-01
199,0,4.417569e-01
200,0,3.981988e-01
201,0,3.924138e-01
202,0,3.486541e-01
203,0,3.376319e-01
204,0,2.874964e-01
205,0,2.650710e-01
206,0,2.062552e-01
207,0,1.802755e-01
208,0,1.276408e-01
209,0,7.493062e-02
210,0,4.299647e-02
211,0,3.863757e-02
212,0,-4.623042e-02
213,0,-8.859352e-02
214,0,-1.144075e-01
215,0,-1.616104e-01
216,0,-1.871939e-01
217,0,-2.278678e-01
218,0,-2.604126e-01
219,0,-2.977668e-01
220,0,-3.502446e-01
221,0,-3.783996e-01
222,0,-3.950112e-01
223,0,-4.128598e-01
224,0,-4.447422e-01
225,0,-4.555044e-01
226,0,-4.838397e-01
227,0,-5.050711e-01
228,0,-5.005207e-01
229,0,-5.383973e-01
230,0,-5.316973e-01
