B_i,B_j,B_ij
0,0,2.510604e+00
1,0,2.179083e+00
2,0,1.604043e+00
3,0,1.723383e+00
4,0,1.429747e+00
5,0,1.543794e+00
6,0,1.586131e+00
7,0,1.180807e+00
8,0,5.628723e-01
9,0,3.445930e+00
10,0,1.895904e-01
11,0,7.810809e-01
12,0,1.056602e+00
13,0,1.449963e+00
14,0,1.728285e+00
15,0,2.300698e+00
16,0,2.282141e+00
17,0,2.628055e+00
18,0,3.147768e+00
19,0,2.752018e+00
20,0,2.552041e+00
21,0,2.010898e+00
22,0,2.130713e+00
23,0,1.424298e+00
24,0,1.327362e+00
25,0,8.270263e-01
26,0,5.892025e-01
27,0,1.838550e-01
28,0,6.668591e-01
29,0,1.248000e+00
30,0,1.486509e+00
31,0,1.930887e+00
32,0,2.046095e+00
33,0,2.618918e+00
34,0,2.453673e+00
35,0,2.507698e+00
36,0,2.694310e+00
