B_i,B_j,B_ij
0,0,2.946097e+00
1,0,2.512127e+00
2,0,2.170485e+00
3,0,2.106096e+00
4,0,1.586970e+00
5,0,1.379348e+00
6,0,8.493742e-01
7,0,7.357503e-01
8,0,2.986391e-01
9,0,1.481847e+00
10,0,9.448585e-02
11,0,1.258365e-01
12,0,1.069605e-01
13,0,3.032639e-01
14,0,2.214901e-01
15,0,2.684414e-01
16,0,1.393141e-01
17,0,7.960172e-02
18,0,7.795652e-01
19,0,3.081293e-02
20,0,8.749539e-02
21,0,1.119644e-01
22,0,7.725278e-02
23,0,9.352349e-02
24,0,7.355476e-02
25,0,7.826972e-02
26,0,4.853620e-02
27,0,7.024646e-01
28,0,4.946917e-02
29,0,1.123705e-01
30,0,1.840227e-01
31,0,7.784899e-02
32,0,1.076171e-01
33,0,1.989483e-01
34,0,1.436849e-01
35,0,6.605071e-02
36,0,6.885073e-01
37,0,9.027846e-02
38,0,2.867054e-02
39,0,1.106817e-01
40,0,1.304759e-01
41,0,1.594185e-01
42,0,6.312800e-02
43,0,9.232973e-02
44,0,7.667163e-03
45,0,1.263603e+00
46,0,4.305202e-01
47,0,5.519316e-01
48,0,7.618869e-01
49,0,1.274521e+00
50,0,1.319558e+00
51,0,1.710043e+00
52,0,2.074507e+00
53,0,2.503491e+00
54,0,2.737194e+00
55,0,2.554109e+00
56,0,2.254652e+00
57,0,1.774518e+00
58,0,1.558257e+00
59,0,1.149194e+00
60,0,8.879164e-01
61,0,6.533528e-01
62,0,3.518760e-01
63,0,2.404992e-01
64,0,6.237557e-01
65,0,2.132990e-02
66,0,3.473482e-02
67,0,4.552131e-02
68,0,5.490686e-02
69,0,5.339522e-02
70,0,5.623081e-02
71,0,3.027253e-02
72,0,1.899068e-02
73,0,3.327429e-02
74,0,-1.146006e-02
75,0,-1.869725e-02
76,0,-2.945295e-02
77,0,-3.757559e-02
78,0,-3.861377e-02
79,0,-3.926813e-02
80,0,-2.674196e-02
81,0,-1.551083e-02
82,0,-8.601527e-02
83,0,-5.405545e-03
84,0,-8.004592e-03
85,0,-2.923979e-03
86,0,-2.611917e-03
87,0,-1.500941e-04
88,0,8.591300e-04
89,0,5.422255e-03
90,0,3.989238e-03
91,0,1.742016e-02
92,0,8.852502e-04
93,0,-4.545994e-03
94,0,-7.465105e-03
95,0,-1.559612e-02
96,0,-2.164796e-02
97,0,-2.621799e-02
98,0,-2.532346e-02
99,0,-1.844098e-02
100,0,7.334916e-01
101,0,3.642939e-01
102,0,4.989639e-01
103,0,7.164180e-01
104,0,9.647703e-01
105,0,1.526059e+00
106,0,1.834138e+00
107,0,1.975859e+00
108,0,2.539359e+00
109,0,2.944763e+00
110,0,2.389987e+00
111,0,1.992665e+00
112,0,1.603248e+00
113,0,1.364699e+00
114,0,1.092437e+00
115,0,8.031197e-01
116,0,5.582900e-01
117,0,4.025768e-01
118,0,2.065143e-01
119,0,7.324184e-01
120,0,2.832647e-02
121,0,4.824343e-02
122,0,7.807899e-02
123,0,8.781906e-02
124,0,9.672219e-02
125,0,8.835164e-02
126,0,7.019837e-02
127,0,3.664899e-02
128,0,2.016235e-01
129,0,2.688496e-02
130,0,3.972701e-02
131,0,4.568527e-02
132,0,4.157908e-02
133,0,4.089763e-02
134,0,2.698952e-02
135,0,1.333230e-02
136,0,3.076809e-03
137,0,-3.614897e-02
138,0,-1.577842e-02
139,0,-3.161419e-02
140,0,-4.046557e-02
141,0,-4.801165e-02
142,0,-3.138487e-02
143,0,-1.945168e-02
144,0,-2.449755e-02
145,0,-7.512123e-03
146,0,1.856659e-02
147,0,8.684471e-03
148,0,9.658377e-03
149,0,1.447525e-02
150,0,1.789370e-02
151,0,2.036134e-02
152,0,1.895841e-02
153,0,1.559702e-02
154,0,8.440212e-03
155,0,7.383913e-01
156,0,3.825390e-01
157,0,6.340496e-01
158,0,8.506141e-01
159,0,1.134688e+00
160,0,1.533216e+00
161,0,1.835757e+00
162,0,2.170420e+00
163,0,2.664390e+00
164,0,2.985192e+00
165,0,2.408366e+00
166,0,2.026850e+00
167,0,1.766257e+00
168,0,1.403074e+00
169,0,1.273139e+00
170,0,8.558592e-01
171,0,5.656905e-01
172,0,3.961092e-01
173,0,1.746499e-01
174,0,6.366215e-01
175,0,6.105464e-02
176,0,8.767413e-02
177,0,1.029193e-01
178,0,1.143391e-01
179,0,1.159710e-01
180,0,9.330700e-02
181,0,7.317769e-02
182,0,4.245251e-02
183,0,2.109193e-01
184,0,2.812923e-02
185,0,4.646209e-02
186,0,5.661144e-02
187,0,6.438150e-02
188,0,6.230936e-02
189,0,5.160499e-02
190,0,4.006149e-02
191,0,2.052082e-02
192,0,1.695957e-01
193,0,2.666223e-02
194,0,6.693323e-02
195,0,8.943633e-02
196,0,9.508376e-02
197,0,9.872396e-02
198,0,9.643788e-02
199,0,7.122256e-02
200,0,3.944643e-02
201,0,2.024027e-01
202,0,1.779762e-02
203,0,3.358034e-02
204,0,3.927545e-02
205,0,3.995364e-02
206,0,3.398248e-02
207,0,2.869436e-02
208,0,2.282500e-02
209,0,1.011116e-02
210,0,7.516698e-01
211,0,2.720985e-01
212,0,5.717161e-01
213,0,7.014591e-01
214,0,1.158064e+00
215,0,1.311747e+00
216,0,1.783299e+00
217,0,2.118195e+00
218,0,2.354148e+00
219,0,2.799020e+00
220,0,2.599123e+00
221,0,2.203721e+00
222,0,2.019096e+00
223,0,1.728673e+00
224,0,1.536086e+00
225,0,1.129124e+00
226,0,7.292698e-01
227,0,5.269914e-01
228,0,2.984745e-01
229,0,1.550174e+00
230,0,4.558824e-02
231,0,2.349776e-01
232,0,1.739006e-01
233,0,1.985692e-01
234,0,2.822220e-01
235,0,2.546236e-01
236,0,1.706219e-01
237,0,5.179877e-02
238,0,8.549469e-01
239,0,5.453583e-02
240,0,1.748978e-01
241,0,1.597727e-01
242,0,2.203342e-01
243,0,2.289251e-01
244,0,2.508379e-01
245,0,1.742584e-01
246,0,5.482156e-02
247,0,1.056817e+00
248,0,7.295543e-02
249,0,2.353555e-01
250,0,2.530688e-01
251,0,2.459387e-01
252,0,3.011470e-01
253,0,2.860740e-01
254,0,2.591379e-01
255,0,1.083318e-01
256,0,7.961959e-01
257,0,1.491337e-02
258,0,2.895170e-02
259,0,4.129527e-02
260,0,1.365137e-01
261,0,6.691062e-02
262,0,9.628868e-02
263,0,9.498424e-02
264,0,1.631630e-02
265,0,1.008851e+00
266,0,2.225022e-01
267,0,4.888671e-01
268,0,6.849861e-01
269,0,8.954377e-01
270,0,1.181532e+00
271,0,1.441843e+00
272,0,1.836345e+00
273,0,2.084255e+00
274,0,2.390221e+00
275,0,3.017546e+00
276,0,2.670385e+00
277,0,2.223170e+00
278,0,2.038470e+00
279,0,1.672823e+00
280,0,1.447204e+00
281,0,9.590266e-01
282,0,6.646397e-01
283,0,3.822638e-01
284,0,8.065518e-02
285,0,1.538411e-01
286,0,1.319559e-01
287,0,2.693180e-01
288,0,2.653233e-01
289,0,2.348200e-01
290,0,1.442208e-01
291,0,5.070970e-02
292,0,3.711863e-02
293,0,6.832442e-02
294,0,9.947468e-02
295,0,2.118362e-01
296,0,1.566077e-01
297,0,1.214620e-01
298,0,1.039493e-01
299,0,5.940266e-02
300,0,6.321399e-02
301,0,8.071311e-02
302,0,1.006826e-01
303,0,1.453950e-01
304,0,1.560365e-01
305,0,1.634149e-01
306,0,1.048966e-01
307,0,7.843139e-02
308,0,5.287135e-02
309,0,9.816309e-02
310,0,1.606620e-01
311,0,1.835182e-01
312,0,1.815932e-01
313,0,2.072055e-01
314,0,7.543730e-02
315,0,2.634885e-02
316,0,1.782336e-01
317,0,6.964602e-01
318,0,1.020378e+00
319,0,1.128050e+00
320,0,1.495171e+00
321,0,1.967824e+00
322,0,2.209468e+00
323,0,2.373342e+00
324,0,2.646266e+00
325,0,3.054238e+00
326,0,2.480202e+00
327,0,2.281499e+00
328,0,1.988584e+00
329,0,1.801356e+00
330,0,1.266129e+00
331,0,9.446681e-01
332,0,6.416390e-01
333,0,1.681317e-01
334,0,5.883110e-03
335,0,1.389824e-02
336,0,9.868006e-03
337,0,9.558295e-03
338,0,6.729508e-03
339,0,6.999611e-03
340,0,9.272586e-03
341,0,1.597317e-03
342,0,1.072736e-02
343,0,1.761982e-02
344,0,2.653758e-02
345,0,3.210342e-02
346,0,3.735652e-02
347,0,3.926229e-02
348,0,2.959764e-02
349,0,1.718016e-02
350,0,5.841434e-02
351,0,8.687006e-02
