B_i,B_j,B_ij
0,0,1.390671e-309
1,0,1.880787e-05
2,0,3.742022e-05
3,0,5.265675e-05
4,0,6.437731e-05
5,0,7.751836e-05
6,0,9.144725e-05
7,0,1.002041e-04
8,0,1.087384e-04
9,0,1.180178e-04
10,0,1.215691e-04
11,0,1.292132e-04
12,0,1.318515e-04
13,0,1.369754e-04
14,0,1.386897e-04
15,0,1.403549e-04
16,0,1.406392e-04
17,0,1.380804e-04
18,0,1.357977e-04
19,0,1.326506e-04
20,0,1.259935e-04
21,0,1.194903e-04
22,0,1.143744e-04
23,0,1.047648e-04
24,0,9.230368e-05
25,0,8.385673e-05
26,0,6.971323e-05
27,0,5.546158e-05
28,0,3.657102e-05
29,0,1.911310e-05
30,0,5.939368e-05
31,0,2.236735e-05
32,0,4.347448e-05
33,0,6.306841e-05
34,0,7.952593e-05
35,0,9.134054e-05
36,0,1.025363e-04
37,0,1.144034e-04
38,0,1.208889e-04
39,0,1.307742e-04
40,0,1.332037e-04
41,0,1.394436e-04
42,0,1.411498e-04
43,0,1.406832e-04
44,0,1.419442e-04
45,0,1.402646e-04
46,0,1.381229e-04
47,0,1.351117e-04
48,0,1.295445e-04
49,0,1.252457e-04
50,0,1.214537e-04
51,0,1.106115e-04
52,0,1.039954e-04
53,0,9.546654e-05
54,0,8.344946e-05
55,0,7.408547e-05
56,0,6.002168e-05
57,0,5.013967e-05
58,0,3.345462e-05
59,0,1.843085e-05
60,0,1.249632e-04
61,0,1.710397e-05
62,0,3.138863e-05
63,0,4.384619e-05
64,0,5.735449e-05
65,0,6.766629e-05
66,0,7.390679e-05
67,0,8.396083e-05
68,0,8.852387e-05
69,0,9.483538e-05
70,0,9.840675e-05
71,0,1.026615e-04
72,0,1.024522e-04
73,0,1.039247e-04
74,0,1.056169e-04
75,0,1.054669e-04
76,0,1.015135e-04
77,0,1.002325e-04
78,0,9.755957e-05
79,0,9.446895e-05
80,0,9.061790e-05
81,0,8.426128e-05
82,0,7.654720e-05
83,0,7.076826e-05
84,0,6.417811e-05
85,0,5.458440e-05
86,0,4.739811e-05
87,0,3.734896e-05
88,0,2.579490e-05
89,0,1.255133e-05
90,0,2.415175e-05
91,0,1.399034e-05
92,0,2.292603e-05
93,0,3.234429e-05
94,0,3.971130e-05
95,0,4.923086e-05
96,0,5.360931e-05
97,0,5.946862e-05
98,0,6.212429e-05
99,0,6.750070e-05
100,0,6.873673e-05
101,0,7.030863e-05
102,0,7.031780e-05
103,0,7.034698e-05
104,0,6.853286e-05
105,0,6.856192e-05
106,0,6.595262e-05
107,0,6.418296e-05
108,0,6.104926e-05
109,0,5.750164e-05
110,0,5.307448e-05
111,0,5.025930e-05
112,0,4.590454e-05
113,0,4.119596e-05
114,0,3.622802e-05
115,0,3.016822e-05
116,0,2.436764e-05
117,0,1.927541e-05
118,0,1.393359e-05
119,0,7.640306e-06
120,0,3.556799e-05
121,0,3.556799e-05
122,0,1.546460e-05
123,0,3.071833e-05
124,0,4.151729e-05
125,0,5.750284e-05
126,0,6.674516e-05
127,0,7.311533e-05
128,0,8.142002e-05
129,0,8.825312e-05
130,0,9.493348e-05
131,0,1.007513e-04
132,0,1.067891e-04
133,0,1.098473e-04
134,0,1.101701e-04
135,0,1.119429e-04
136,0,1.135786e-04
137,0,1.130231e-04
138,0,1.108209e-04
139,0,1.093302e-04
140,0,1.069666e-04
141,0,1.039106e-04
142,0,9.662562e-05
143,0,8.960702e-05
144,0,8.408858e-05
145,0,7.286756e-05
146,0,6.540900e-05
147,0,5.685534e-05
148,0,4.397176e-05
149,0,3.010998e-05
150,0,1.807861e-05
151,0,1.944106e-04
152,0,4.074677e-01
153,0,7.889797e-01
154,0,1.158841e+00
155,0,1.407733e+00
156,0,1.678320e+00
157,0,1.915936e+00
158,0,2.160702e+00
159,0,2.356817e+00
160,0,2.533106e+00
161,0,2.694508e+00
162,0,2.764267e+00
163,0,2.862285e+00
164,0,2.945312e+00
165,0,2.963104e+00
166,0,3.000743e+00
167,0,2.939788e+00
168,0,2.939843e+00
169,0,2.878926e+00
170,0,2.790387e+00
171,0,2.633884e+00
172,0,2.494597e+00
173,0,2.378940e+00
174,0,2.188889e+00
175,0,1.914917e+00
176,0,1.677215e+00
177,0,1.453158e+00
178,0,1.103185e+00
179,0,7.493473e-01
180,0,4.263177e-01
181,0,2.191520e+00
182,0,4.017074e-02
183,0,7.654740e-02
184,0,1.113705e-01
185,0,1.358794e-01
186,0,1.611771e-01
187,0,1.798748e-01
188,0,1.978251e-01
189,0,2.155548e-01
190,0,2.386615e-01
191,0,2.416001e-01
192,0,2.542871e-01
193,0,2.619379e-01
194,0,2.610300e-01
195,0,2.674125e-01
196,0,2.624076e-01
197,0,2.655402e-01
198,0,2.638962e-01
199,0,2.606653e-01
200,0,2.524639e-01
201,0,2.381544e-01
202,0,2.361140e-01
203,0,2.211950e-01
204,0,2.005686e-01
205,0,1.795136e-01
206,0,1.663219e-01
207,0,1.382971e-01
208,0,1.067218e-01
209,0,7.463349e-02
210,0,4.203968e-02
211,0,6.438855e-05
212,0,4.577352e-06
213,0,8.571649e-06
214,0,1.194465e-05
215,0,1.482376e-05
216,0,1.731219e-05
217,0,1.994551e-05
218,0,2.189696e-05
219,0,2.300390e-05
220,0,2.407967e-05
221,0,2.528955e-05
222,0,2.546852e-05
223,0,2.621968e-05
224,0,2.533699e-05
225,0,2.579588e-05
226,0,2.546727e-05
227,0,2.483609e-05
228,0,2.364251e-05
229,0,2.286397e-05
230,0,2.167703e-05
231,0,2.053478e-05
232,0,1.866651e-05
233,0,1.742847e-05
234,0,1.554444e-05
235,0,1.354555e-05
236,0,1.133089e-05
237,0,9.469621e-06
238,0,7.407003e-06
239,0,4.907066e-06
240,0,2.905238e-06
241,0,4.645728e-06
242,0,4.645728e-06
243,0,5.864016e-06
244,0,9.594837e-06
245,0,1.405430e-05
246,0,2.000894e-05
247,0,2.217306e-05
248,0,2.726734e-05
249,0,3.060036e-05
250,0,3.380937e-05
251,0,3.431220e-05
252,0,3.790451e-05
253,0,4.152322e-05
254,0,4.364532e-05
255,0,4.578236e-05
256,0,4.665283e-05
257,0,4.777282e-05
258,0,4.967693e-05
259,0,4.689632e-05
260,0,4.801204e-05
261,0,4.840019e-05
262,0,4.560831e-05
263,0,4.525565e-05
264,0,4.271204e-05
265,0,3.738873e-05
266,0,3.625575e-05
267,0,3.108075e-05
268,0,2.649966e-05
269,0,2.029622e-05
270,0,1.461140e-05
271,0,8.172038e-06
272,0,1.514715e-04
273,0,1.552120e-05
274,0,2.990850e-05
275,0,4.129286e-05
276,0,5.297230e-05
277,0,6.383199e-05
278,0,7.419177e-05
279,0,8.423123e-05
280,0,8.754496e-05
281,0,9.807003e-05
282,0,1.001318e-04
283,0,1.047577e-04
284,0,1.094671e-04
285,0,1.128443e-04
286,0,1.140662e-04
287,0,1.151298e-04
288,0,1.142915e-04
289,0,1.130987e-04
290,0,1.097841e-04
291,0,1.114025e-04
292,0,1.041604e-04
293,0,1.010397e-04
294,0,9.355687e-05
295,0,8.537854e-05
296,0,7.555810e-05
297,0,6.933501e-05
298,0,5.553462e-05
299,0,4.587469e-05
300,0,3.171337e-05
301,0,1.758780e-05
302,0,6.607111e-05
303,0,1.250251e-05
304,0,2.227117e-05
305,0,3.256598e-05
306,0,4.002881e-05
307,0,4.971716e-05
308,0,5.618906e-05
309,0,6.368681e-05
310,0,6.879658e-05
311,0,7.377208e-05
312,0,7.630066e-05
313,0,8.123612e-05
314,0,8.380820e-05
