B_i,B_j,B_ij
0,0,0.000000e+00
1,0,6.710806e-01
2,0,7.524374e-01
3,0,8.153527e-01
4,0,8.623489e-01
5,0,8.466682e-01
6,0,8.677289e-01
7,0,9.183319e-01
8,0,9.212326e-01
9,0,9.463245e-01
10,0,9.127278e-01
11,0,9.320364e-01
12,0,9.182084e-01
13,0,8.817951e-01
14,0,8.244359e-01
15,0,8.155116e-01
16,0,7.728417e-01
17,0,7.428203e-01
18,0,7.253441e-01
19,0,6.024368e-01
20,0,6.231869e-01
21,0,5.048465e-01
22,0,4.608098e-01
23,0,4.468396e-01
24,0,4.205832e-01
25,0,3.025773e-01
26,0,2.570593e-01
27,0,1.831147e-01
28,0,1.243954e-01
29,0,5.415963e-02
30,0,3.481871e+00
31,0,7.560356e-02
32,0,1.955519e-01
33,0,3.072643e-01
34,0,3.143216e-01
35,0,4.028929e-01
36,0,4.201800e-01
37,0,5.388820e-01
38,0,5.123741e-01
39,0,5.406379e-01
40,0,6.603183e-01
41,0,6.374742e-01
42,0,5.981276e-01
43,0,5.924310e-01
44,0,6.263652e-01
45,0,6.953563e-01
46,0,6.073491e-01
47,0,7.020466e-01
48,0,6.438197e-01
49,0,5.277682e-01
50,0,6.170152e-01
51,0,6.211023e-01
52,0,4.909431e-01
53,0,3.989684e-01
54,0,4.165586e-01
55,0,3.698997e-01
56,0,2.562395e-01
57,0,2.267091e-01
58,0,1.486967e-01
59,0,6.009514e-02
60,0,1.631615e+00
61,0,5.468728e-02
62,0,7.496567e-02
63,0,1.320239e-01
64,0,1.472249e-01
65,0,1.838434e-01
66,0,2.195968e-01
67,0,2.189724e-01
68,0,2.589218e-01
69,0,3.213240e-01
70,0,3.502312e-01
71,0,3.254746e-01
72,0,3.486995e-01
73,0,3.613213e-01
74,0,3.461705e-01
75,0,3.796031e-01
76,0,3.348584e-01
77,0,3.903032e-01
78,0,3.390040e-01
79,0,3.386015e-01
80,0,3.371274e-01
81,0,2.956091e-01
82,0,3.059080e-01
83,0,2.551451e-01
84,0,2.433372e-01
85,0,2.263194e-01
86,0,1.981914e-01
87,0,1.298042e-01
88,0,1.003219e-01
89,0,6.303672e-02
90,0,1.968050e+00
91,0,1.841575e-02
92,0,4.215001e-02
93,0,7.312566e-02
94,0,6.664290e-02
95,0,1.054168e-01
96,0,1.194753e-01
97,0,1.511283e-01
98,0,1.565318e-01
99,0,1.793325e-01
100,0,1.753821e-01
101,0,1.744631e-01
102,0,1.998867e-01
103,0,2.355557e-01
104,0,2.137626e-01
105,0,2.698904e-01
106,0,2.187488e-01
107,0,2.449221e-01
108,0,2.261136e-01
109,0,2.272466e-01
110,0,1.981301e-01
111,0,2.235541e-01
112,0,2.019050e-01
113,0,1.926980e-01
114,0,1.793759e-01
115,0,1.863071e-01
116,0,1.410910e-01
117,0,1.204526e-01
118,0,1.078341e-01
119,0,8.138384e-02
120,0,0.000000e+00
121,0,0.000000e+00
122,0,2.970506e-01
123,0,3.660084e-01
124,0,5.371718e-01
125,0,5.577654e-01
126,0,6.905215e-01
127,0,7.677273e-01
128,0,8.051176e-01
129,0,9.143384e-01
130,0,9.774080e-01
131,0,1.028221e+00
132,0,9.429722e-01
133,0,1.034377e+00
134,0,1.015752e+00
135,0,9.504897e-01
136,0,9.792483e-01
137,0,1.040926e+00
138,0,1.035859e+00
139,0,1.007107e+00
140,0,8.555263e-01
141,0,9.194239e-01
142,0,9.580604e-01
143,0,8.015112e-01
144,0,7.620855e-01
145,0,6.804720e-01
146,0,5.630863e-01
147,0,4.906330e-01
148,0,3.739801e-01
149,0,2.925436e-01
150,0,1.819870e-01
151,0,2.316394e+00
152,0,8.637969e-03
153,0,1.673095e-02
154,0,2.663819e-02
155,0,3.493845e-02
156,0,3.729037e-02
157,0,4.547246e-02
158,0,4.882336e-02
159,0,5.223411e-02
160,0,5.370972e-02
161,0,6.795697e-02
162,0,6.898123e-02
163,0,7.309358e-02
164,0,8.482571e-02
165,0,7.451356e-02
166,0,7.307471e-02
167,0,6.744815e-02
168,0,7.778181e-02
169,0,8.432242e-02
170,0,8.094356e-02
171,0,6.647439e-02
172,0,6.333301e-02
173,0,6.021175e-02
174,0,6.875047e-02
175,0,4.938999e-02
176,0,4.282479e-02
177,0,4.191668e-02
178,0,3.085562e-02
