G_i,G_j,G_ij
0,0,1.000000e+00
56,0,5.639668e-05
57,0,7.953552e-06
58,0,1.866861e-04
59,0,7.209655e-05
60,0,1.978442e-05
61,0,1.648499e-04
62,0,-2.005932e-05
63,0,5.843195e-06
64,0,-2.686489e-03
276,0,2.161447e-06
277,0,-3.242791e-05
278,0,-3.942862e-05
279,0,-1.065805e-05
280,0,-1.576613e-05
281,0,2.180903e-06
282,0,-5.652444e-05
283,0,-3.930501e-04
284,0,1.449426e-05
285,0,-3.526283e-05
286,0,9.768326e-06
287,0,1.374865e-04
288,0,-1.017536e-05
289,0,1.648516e-04
290,0,8.850258e-06
291,0,5.376668e-06
1,1,1.000000e+00
56,1,-1.061509e-03
57,1,-7.744744e-05
58,1,-4.617901e-03
59,1,-7.944322e-03
60,1,-1.053924e-04
61,1,-1.674854e-02
62,1,1.624193e-04
63,1,-4.748209e-05
64,1,-1.162189e-04
276,1,-2.011417e-05
277,1,4.203604e-04
278,1,4.713543e-04
279,1,1.281771e-04
280,1,1.446074e-04
281,1,-2.347003e-07
282,1,6.933390e-04
283,1,3.305055e-03
284,1,-1.434261e-04
285,1,4.964170e-04
286,1,-1.062878e-04
287,1,-1.171940e-02
288,1,8.395388e-05
289,1,-4.928566e-03
290,1,-1.010370e-04
291,1,-6.949168e-05
2,2,1.000000e+00
56,2,-9.722509e-03
57,2,4.535740e-04
58,2,-9.675845e-03
59,2,-4.943726e-03
60,2,-8.271818e-05
61,2,-4.581802e-03
62,2,-6.775612e-04
63,2,1.968349e-04
64,2,-1.071236e-02
276,2,9.869158e-05
277,2,-6.550606e-03
278,2,-9.547659e-03
279,2,-1.125738e-03
280,2,-1.797381e-02
281,2,-3.865253e-04
282,2,-7.093208e-03
283,2,-1.397123e-02
284,2,-9.480048e-03
285,2,-1.235132e-02
286,2,7.170686e-04
287,2,-2.224680e-02
288,2,-2.822396e-04
289,2,-9.606312e-03
290,2,7.085271e-04
291,2,5.602548e-04
3,3,1.000000e+00
56,3,-3.543469e-03
57,3,-3.334999e-03
58,3,9.163680e-03
59,3,7.300900e-03
60,3,-2.216941e-02
61,3,-7.736441e-03
62,3,2.092087e-03
63,3,-5.757401e-04
64,3,-5.824956e-03
276,3,-3.547719e-04
277,3,-5.616149e-03
278,3,-2.577019e-02
279,3,-1.968652e-02
280,3,-1.700935e-03
281,3,-1.500458e-02
282,3,-5.041059e-02
283,3,3.352058e-02
284,3,-2.167386e-03
285,3,-1.311011e-02
286,3,-1.437709e-02
287,3,-1.246720e-02
288,3,-4.646374e-03
289,3,3.368412e-03
290,3,-6.402483e-03
291,3,-2.505157e-02
4,4,1.000000e+00
56,4,-7.144848e-03
57,4,-1.313797e-02
58,4,-1.770566e-02
59,4,-1.292582e-02
60,4,2.545897e-03
61,4,-1.906804e-02
62,4,-8.322773e-03
63,4,1.469089e-03
64,4,-2.250038e-02
276,4,1.167093e-03
277,4,-7.155292e-03
278,4,-2.035925e-02
279,4,-1.853860e-02
280,4,-1.992910e-02
281,4,-3.370320e-03
282,4,4.730888e-03
283,4,-9.771993e-02
284,4,-5.047734e-03
285,4,7.826591e-03
286,4,-1.184101e-02
287,4,-4.683805e-02
288,4,-2.529704e-02
289,4,-2.950361e-02
290,4,-2.003272e-02
291,4,-8.617602e-03
5,5,1.000000e+00
56,5,2.569500e-03
57,5,-1.401762e-02
58,5,-7.881316e-03
59,5,-2.219662e-02
60,5,-1.495597e-02
61,5,-5.519754e-03
62,5,-2.866939e-03
63,5,-5.393646e-03
64,5,-7.705551e-03
276,5,-6.208440e-03
277,5,-1.899509e-02
278,5,-2.771403e-02
279,5,-2.576673e-02
280,5,-6.921357e-02
281,5,-3.231855e-02
282,5,-5.688131e-02
283,5,1.755713e-01
284,5,-3.132689e-02
285,5,-4.567853e-02
286,5,-4.048606e-02
287,5,-2.686645e-03
288,5,-2.372021e-02
289,5,-1.688959e-02
290,5,1.265693e-02
291,5,4.724825e-03
6,6,1.000000e+00
56,6,-1.478763e-02
57,6,1.084058e-04
58,6,4.942964e-04
59,6,-1.076910e-02
60,6,3.982798e-03
61,6,-7.886540e-03
62,6,-9.017888e-03
63,6,-1.686267e-02
64,6,-3.549970e-02
276,6,-1.240532e-02
277,6,-3.592997e-03
278,6,-2.850000e-02
279,6,-3.093143e-02
280,6,-6.154792e-02
281,6,-4.862191e-02
282,6,-3.295394e-02
283,6,-3.221952e-01
284,6,-5.354722e-02
285,6,-1.645454e-02
286,6,-4.907863e-02
287,6,-6.547961e-02
288,6,-6.793374e-03
289,6,-2.599530e-02
290,6,-3.536150e-02
291,6,-2.592901e-02
7,7,1.000000e+00
56,7,-6.399642e-03
57,7,3.128722e-06
