G_i,G_j,G_ij
0,0,1.000000e+00
20,0,6.338592e-04
21,0,8.377445e-04
22,0,4.833595e-05
23,0,8.463460e-04
24,0,1.921515e-04
25,0,-4.387316e-04
26,0,8.443321e-04
27,0,2.295792e-04
28,0,-1.350506e-04
29,0,-4.473556e-04
30,0,-4.121199e-05
31,0,1.131770e-03
32,0,-2.544518e-04
33,0,-1.352898e-03
34,0,2.067870e-04
35,0,-2.037744e-04
1,1,1.000000e+00
20,1,-4.577283e-03
21,1,-6.258692e-03
22,1,-2.911245e-04
23,1,7.093750e-04
24,1,-3.205117e-03
25,1,8.894855e-04
26,1,-4.082862e-03
27,1,-5.173038e-03
28,1,1.039576e-03
29,1,-1.029175e-04
30,1,-5.999804e-04
31,1,-6.031513e-04
32,1,-6.647687e-03
33,1,-3.148645e-03
34,1,8.659409e-04
35,1,1.059153e-03
2,2,1.000000e+00
20,2,-1.569231e-03
21,2,-7.640823e-03
22,2,-4.993213e-03
23,2,-4.384278e-03
24,2,-1.069000e-03
25,2,-7.950614e-03
26,2,-9.451637e-03
27,2,-1.062170e-02
28,2,6.561440e-04
29,2,-7.900615e-03
30,2,-3.895007e-03
31,2,-1.897666e-02
32,2,-8.382195e-03
33,2,1.215766e-03
34,2,-9.092682e-03
35,2,-9.479510e-03
3,3,1.000000e+00
20,3,3.620821e-04
21,3,-1.346695e-02
22,3,-1.666070e-02
23,3,-1.506884e-03
24,3,-1.265013e-02
25,3,1.203208e-03
26,3,-1.452132e-02
27,3,5.386690e-03
28,3,-1.015587e-02
29,3,7.447189e-04
30,3,-1.562974e-02
31,3,-2.349466e-02
32,3,-1.067259e-02
33,3,-3.137095e-03
34,3,-6.031936e-03
35,3,-2.569441e-03
4,4,1.000000e+00
20,4,1.770125e-04
21,4,-3.226357e-03
22,4,-5.556392e-03
23,4,-2.133640e-03
24,4,-4.052888e-02
25,4,-1.728558e-02
26,4,-1.155744e-02
27,4,-1.669760e-02
28,4,-3.451439e-02
29,4,-1.746281e-02
30,4,-8.133095e-03
31,4,-1.300384e-03
32,4,-2.722723e-02
33,4,-1.164939e-02
34,4,-3.517191e-03
35,4,5.461168e-04
5,5,1.000000e+00
20,5,-8.637775e-03
21,5,-9.244120e-03
22,5,-6.842571e-03
23,5,-5.258012e-02
24,5,-3.478390e-02
25,5,-4.107726e-02
26,5,-4.509633e-03
27,5,-1.139997e-02
28,5,-2.335266e-02
29,5,-2.634558e-02
30,5,-5.474841e-02
31,5,-5.745834e-02
32,5,-1.839618e-02
33,5,-3.369065e-02
34,5,-1.588774e-02
35,5,-9.697129e-03
6,6,1.000000e+00
20,6,-1.200178e-02
21,6,-2.589660e-02
22,6,-3.905563e-03
23,6,-5.789529e-02
24,6,-4.383549e-02
25,6,-3.585045e-02
26,6,-5.993768e-02
27,6,-5.013545e-02
28,6,-2.902306e-02
29,6,-4.554143e-02
30,6,-6.338388e-02
31,6,-6.570384e-02
32,6,-3.048913e-02
33,6,-1.903212e-02
34,6,-1.802348e-02
35,6,-3.745262e-03
7,7,1.000000e+00
20,7,-1.016979e-02
21,7,-5.075503e-03
22,7,-2.849840e-02
23,7,-4.095094e-02
24,7,-7.568411e-02
25,7,-9.080818e-02
26,7,-4.970244e-02
27,7,-2.332823e-02
28,7,-6.988173e-02
29,7,-8.806742e-02
30,7,-5.536103e-02
31,7,-5.642129e-02
32,7,-1.296851e-02
33,7,-6.915255e-03
34,7,-1.306622e-02
35,7,2.627467e-03
8,8,1.000000e+00
20,8,4.246473e-03
21,8,-3.130200e-02
22,8,-1.846126e-02
23,8,-3.233187e-02
24,8,-5.484270e-02
25,8,-6.530334e-02
26,8,-1.196167e-01
27,8,-1.805862e-01
28,8,-1.336052e-01
29,8,-1.055549e-01
30,8,-7.842075e-02
31,8,-6.201896e-02
32,8,-1.922514e-02
33,8,-1.513429e-02
34,8,-5.419210e-03
35,8,3.336421e-03
1,9,4.200469e-04
2,9,-1.116897e-02
3,9,-1.428141e-02
4,9,-5.318107e-02
5,9,-5.637506e-02
6,9,-1.188292e-01
7,9,-1.394559e-01
8,9,-3.225824e-01
9,9,1.000000e+00
10,9,-2.913515e-01
11,9,-9.473624e-02
12,9,-9.101193e-02
13,9,-6.213062e-02
14,9,-4.321648e-02
15,9,-1.961243e-02
16,9,-7.424351e-03
17,9,-7.549853e-03
20,9,-4.803781e-03
21,9,-9.221656e-03
22,9,-1.415718e-02
23,9,-4.192563e-02
24,9,-1.002315e-01
25,9,-5.161129e-02
