Gvar_i,Gvar_j,Gvar_ij
61,0,2.509157e-06
62,0,2.642885e-06
63,0,8.690252e-06
64,0,5.213548e-06
65,0,1.236711e-05
66,0,2.557941e-06
67,0,8.891455e-06
68,0,3.841657e-06
69,0,1.444604e-06
70,0,4.885130e-06
71,0,1.541009e-05
72,0,5.848452e-06
73,0,2.029154e-06
74,0,1.573533e-06
75,0,7.966523e-06
76,0,1.676677e-06
77,0,6.968750e-06
78,0,1.221510e-06
79,0,1.974592e-06
80,0,5.884440e-06
81,0,1.447237e-06
82,0,7.810207e-06
83,0,3.370252e-06
84,0,1.970218e-06
85,0,8.215373e-07
86,0,1.191189e-05
87,0,1.123039e-06
88,0,1.215419e-06
89,0,5.445041e-07
90,0,4.383807e-08
91,0,1.772413e-08
92,0,3.883495e-07
93,0,1.773825e-07
94,0,1.196247e-06
95,0,1.489072e-06
96,0,4.244223e-07
97,0,8.567447e-07
98,0,6.485305e-06
99,0,2.438542e-07
100,0,6.382623e-07
101,0,3.098730e-06
102,0,8.439043e-07
103,0,7.155489e-06
104,0,1.700369e-06
105,0,8.200058e-07
106,0,5.395659e-06
107,0,5.731531e-06
108,0,4.284400e-07
109,0,6.984144e-07
110,0,1.385683e-06
111,0,1.455684e-06
112,0,5.859322e-06
113,0,1.222327e-07
114,0,6.128778e-07
115,0,3.490977e-07
116,0,2.676565e-07
117,0,4.047571e-06
118,0,6.366280e-08
119,0,1.319911e-07
61,1,4.106582e-04
62,1,2.196474e-04
63,1,6.542049e-04
64,1,4.470318e-04
65,1,5.858229e-04
66,1,3.636242e-04
67,1,5.770255e-04
68,1,5.289273e-04
69,1,1.804851e-04
70,1,5.265603e-04
71,1,6.932906e-04
72,1,4.790830e-04
73,1,4.791474e-04
74,1,3.432454e-04
75,1,3.464228e-04
76,1,3.558586e-04
77,1,4.739296e-04
78,1,1.513573e-04
79,1,3.696181e-04
80,1,4.546177e-04
81,1,2.870178e-04
82,1,2.980327e-04
83,1,5.932040e-04
84,1,1.429202e-04
85,1,1.161132e-04
86,1,5.946128e-04
87,1,1.674690e-04
88,1,1.021302e-04
89,1,1.224179e-04
90,1,1.354739e-06
91,1,5.910997e-07
92,1,1.673157e-04
93,1,6.158134e-05
94,1,1.364147e-04
95,1,1.618112e-04
96,1,9.158995e-05
97,1,1.053734e-04
98,1,3.904683e-04
99,1,1.450676e-05
100,1,2.044006e-04
101,1,2.729651e-04
102,1,1.325606e-04
103,1,4.005639e-04
104,1,2.843453e-04
105,1,1.500175e-04
106,1,3.873505e-04
107,1,3.264670e-04
108,1,1.941843e-04
109,1,1.404310e-04
110,1,2.172696e-04
111,1,2.904590e-04
112,1,3.332245e-04
113,1,5.819086e-05
114,1,2.085776e-04
115,1,4.063384e-05
116,1,2.988993e-05
117,1,1.868666e-04
118,1,5.370895e-05
119,1,1.920062e-05
61,2,9.649452e-04
62,2,1.205307e-03
63,2,1.071155e-03
64,2,1.043641e-03
65,2,7.110249e-04
66,2,1.183334e-03
67,2,1.060590e-03
68,2,1.134258e-03
69,2,1.138540e-03
70,2,9.897632e-04
71,2,1.341299e-03
72,2,9.986108e-04
73,2,9.398338e-04
74,2,9.876273e-04
75,2,1.018762e-03
76,2,8.777074e-04
77,2,1.152235e-03
78,2,9.418097e-04
79,2,9.861028e-04
80,2,8.077830e-04
81,2,9.251418e-04
82,2,8.214560e-04
83,2,8.048579e-04
84,2,7.557077e-04
85,2,3.874921e-04
86,2,7.821495e-04
87,2,3.680391e-04
88,2,5.744227e-04
89,2,1.221482e-04
90,2,8.050039e-05
91,2,2.717393e-05
92,2,1.097956e-04
93,2,1.983721e-04
94,2,4.706866e-04
95,2,3.752462e-04
96,2,3.058702e-04
97,2,5.373593e-04
98,2,4.725778e-04
99,2,3.094222e-04
100,2,3.819152e-04
101,2,3.850726e-04
102,2,8.432063e-04
103,2,4.806752e-04
104,2,6.687392e-04
105,2,6.070749e-04
106,2,6.607108e-04
107,2,7.253385e-04
108,2,4.210197e-04
109,2,4.703042e-04
