index,x,y
152,2.999999,3.000000
445,3.100000,3.000000
446,3.200000,3.000000
447,3.300000,3.000000
448,3.400000,3.000000
449,3.500000,3.000000
450,3.599999,3.000000
451,3.699999,3.000000
452,3.799999,3.000000
453,3.899999,3.000000
213,3.999999,3.000000
213,3.999999,3.000000
454,4.100000,3.000000
455,4.200000,3.000000
456,4.300000,3.000000
457,4.400000,3.000000
458,4.500000,3.000000
459,4.599999,3.000000
460,4.699999,3.000000
461,4.799999,3.000000
462,4.899999,3.000000
274,4.999999,3.000000
203,3.999999,2.000000
204,4.000000,2.100000
205,4.000000,2.200000
206,4.000000,2.300000
207,4.000000,2.400000
208,4.000000,2.500000
209,4.000000,2.599999
210,4.000000,2.699999
211,4.000000,2.799999
212,4.000000,2.899999
213,3.999999,3.000000
213,3.999999,3.000000
214,4.000000,3.100000
215,4.000000,3.200000
216,4.000000,3.300000
217,4.000000,3.400000
218,4.000000,3.500000
219,4.000000,3.599999
220,4.000000,3.699999
221,4.000000,3.799999
222,4.000000,3.899999
223,3.999999,4.000000
