Knot,h,N
0,1.473089e+00,10000
1,1.135984e-02,10000
2,2.709489e-03,10000
3,1.766226e-03,10000
4,2.567735e-03,10000
5,5.112858e-03,10153
6,3.269240e-03,11207
7,3.670119e-03,16471
8,7.452039e-03,16493
9,6.734880e-03,18168
10,4.100671e-04,19425
11,2.144480e-03,22898
12,4.870474e-03,25231
13,2.352653e-03,26777
14,7.066272e-04,31636
15,1.953043e-03,30925
16,1.227550e-03,33789
17,2.350443e-03,34792
18,2.332312e-03,37041
19,4.777006e-04,41315
20,7.009314e-04,41271
21,9.418675e-04,45793
22,6.100065e-04,46317
23,6.360689e-04,47981
24,8.157015e-04,51259
25,1.322451e-03,53905
26,6.152557e-04,56857
27,6.839590e-04,58403
28,4.598257e-04,61326
29,8.628841e-04,62093
30,7.290732e-03,12317
31,1.070475e-03,60969
32,7.388828e-04,61445
33,5.477391e-04,58694
34,6.153276e-04,56097
35,5.418309e-04,54196
36,4.665556e-04,51352
37,8.017441e-04,48132
38,5.240714e-04,45904
39,1.247390e-03,45297
40,1.003815e-03,41109
41,8.243139e-04,40637
42,1.784589e-03,36912
43,1.361152e-03,35869
44,2.220236e-03,33328
45,1.199606e-03,30508
46,3.253189e-04,27341
47,7.516294e-04,26723
48,3.841548e-03,24775
49,2.847334e-03,22080
50,1.481705e-03,21475
51,2.147739e-03,20259
52,2.393150e-03,17295
53,1.302335e-03,15624
54,5.154309e-03,13136
55,1.542512e-03,10957
56,6.854927e-03,10000
57,5.132206e-03,10000
58,6.718014e-04,10000
59,1.130818e-03,10000
60,1.817694e-03,25774
61,8.254031e-04,10000
62,8.530241e-04,10000
63,6.889091e-04,10000
64,1.016451e-03,10000
65,2.080619e-03,10000
66,3.637569e-03,10000
67,1.947647e-03,10000
68,4.470347e-04,10746
69,7.690169e-04,12947
70,1.362468e-03,12913
71,1.554132e-03,14592
72,1.116178e-03,15110
73,1.470795e-03,15939
74,1.167868e-03,16966
75,3.757395e-03,17911
76,1.167324e-03,18796
77,3.566992e-04,19639
78,1.173069e-03,20698
79,1.451411e-03,22410
80,1.097292e-03,22967
81,4.871465e-04,23773
82,9.497154e-04,24428
83,8.115906e-04,25657
84,8.262291e-04,26869
85,7.013246e-04,28195
86,6.349816e-04,28492
87,7.836843e-04,30379
88,9.216499e-04,30957
89,8.513686e-04,31258
90,1.300827e-03,10000
91,1.021151e-03,30946
92,7.533075e-04,30463
93,6.676068e-04,28944
94,9.120203e-04,27812
95,7.472482e-04,26299
96,1.353431e-03,25159
97,7.531893e-04,23996
98,1.075392e-03,22667
99,1.807973e-03,20075
100,1.709734e-03,19433
101,1.804390e-03,18923
102,2.339237e-03,17041
103,1.086548e-03,16393
104,2.162088e-03,15142
105,1.284439e-03,13137
106,3.811776e-03,13069
107,6.451258e-03,11865
108,4.014132e-03,10021
109,4.170913e-03,10171
110,4.879630e-03,10000
111,3.375624e-03,10000
112,6.811763e-03,10000
113,2.082623e-03,10000
114,3.282141e-03,10000
115,1.077983e-02,10000
116,8.297023e-03,10000
117,3.096191e-03,10000
118,2.956119e-03,10000
119,2.529864e-03,10000
120,1.473089e+00,10000
121,1.473089e+00,10000
122,3.015875e-03,10000
123,2.419884e-03,10000
124,1.904498e-03,10000
125,9.627803e-03,10000
126,8.653195e-04,10000
127,1.063055e-03,10244
128,3.870833e-03,12242
129,9.290646e-04,14028
130,1.116714e-03,14837
131,6.826654e-03,17006
132,8.853036e-04,20146
133,7.926279e-04,20265
134,1.272076e-03,22042
135,5.624785e-04,23146
136,8.825296e-04,25847
137,6.974960e-04,27525
138,5.378880e-04,29134
139,6.598879e-04,29012
140,4.970298e-04,30795
141,5.470276e-04,32046
142,4.710694e-04,35211
143,5.886749e-04,37554
144,1.011951e-03,36751
145,5.141117e-04,39801
146,7.290244e-04,40967
147,6.505592e-04,41030
148,4.806030e-04,43046
149,3.720104e-04,44771
150,3.621565e-04,43769
151,1.946492e-02,22362
152,4.420102e-04,44587
153,4.475663e-04,45583
154,4.093887e-04,44811
155,6.027570e-04,43858
156,7.254416e-04,43508
157,6.589025e-04,42608
158,6.221168e-04,40961
159,1.585323e-04,40100
160,6.087951e-04,38778
161,6.755891e-04,37885
162,1.483241e-03,37615
163,8.005809e-03,35325
164,1.342566e-03,36299
165,1.421817e-02,33810
166,4.812186e-03,32792
167,2.756879e-03,33199
168,3.697750e-03,30842
169,3.848758e-03,30565
170,3.308934e-03,29573
171,1.179883e-03,28830
172,7.359076e-03,28815
173,1.725567e-03,27218
174,2.524107e-03,25697
175,1.198536e-03,24618
176,1.991765e-03,25342
177,1.999230e-03,23307
178,8.457350e-04,21952
179,1.345575e-03,20879
180,1.184519e-03,19855
181,3.524159e-03,24794
182,2.439432e-03,18241
183,7.646129e-04,18756
184,7.848967e-04,18419
185,1.489647e-03,17811
186,1.028130e-03,17592
187,9.252630e-04,17195
188,6.056220e-04,16621
189,6.177040e-04,16406
190,1.042474e-03,16371
191,8.616287e-04,15681
192,9.675050e-04,14951
193,6.802517e-04,14743
194,9.400753e-04,14994
195,1.248448e-03,13316
196,1.452340e-03,13194
197,1.327487e-03,13060
198,9.847722e-04,12123
199,6.206464e-04,12203
200,9.300237e-04,11186
201,7.872210e-04,10629
202,8.113815e-04,10889
203,1.572044e-03,10376
204,1.732172e-03,10000
205,1.049993e-03,10000
206,1.168660e-03,10000
207,1.076329e-03,10000
208,1.891422e-03,10000
209,7.880279e-04,10000
210,1.093097e-03,10000
211,1.884739e-03,11243
212,1.645023e-03,10000
213,9.120025e-04,10000
214,1.036372e-03,10000
215,2.236452e-03,10000
216,1.161451e-03,10000
217,2.421983e-03,10000
218,2.639805e-03,10000
219,2.454289e-03,10000
220,1.134916e-02,10000
221,1.728731e-03,10000
222,2.166037e-03,10000
223,1.672437e-03,10000
224,1.719067e-03,10000
225,4.129634e-03,10000
226,3.767778e-03,10000
227,1.732916e-03,10000
228,8.784012e-03,10000
229,6.356433e-03,10000
230,4.623453e-03,10000
231,7.395040e-03,10000
232,6.955172e-01,10000
233,1.300493e-02,10000
234,3.748567e-04,10000
235,5.801184e-03,10000
236,5.349311e-03,10000
237,7.449080e-03,10000
238,6.103249e-03,10000
239,2.283454e-03,10000
240,7.323786e-03,10000
241,1.473089e+00,10000
242,1.473089e+00,10000
243,2.430402e-03,10000
244,1.486387e-03,10000
245,9.697599e-04,10000
246,1.182536e-03,10000
247,1.295425e-03,10000
248,1.547322e-03,10000
249,2.047384e-03,10000
250,1.936492e-03,10000
251,7.828333e-04,10000
252,1.167634e-03,10000
253,4.798763e-04,10000
254,5.191417e-03,10000
255,1.475594e-03,10000
256,9.690341e-04,10000
257,1.226189e-03,10000
258,1.869251e-03,10000
259,1.118698e-03,10000
260,6.476742e-04,10000
261,9.551405e-04,10000
262,3.061486e-03,10000
263,2.346376e-03,10000
264,6.090503e-03,10000
265,8.444449e-04,10000
266,1.352453e-03,10000
267,1.029664e-03,10000
268,8.325594e-04,10000
269,3.284613e-02,10000
270,6.248360e-04,10000
271,8.387490e-04,10000
272,2.192426e-03,16402
273,7.427546e-04,10000
274,1.626706e-03,10000
275,3.605023e-02,10000
276,3.850077e-03,10000
277,2.079963e-03,10000
278,2.204800e-03,10000
279,3.588316e-03,10000
280,5.795038e-03,10000
281,5.285624e-03,10924
282,3.502641e-03,10820
283,2.216579e-03,12027
284,1.832533e-03,13360
285,1.559274e-02,13493
286,3.035338e-03,14261
287,3.653100e-03,15087
288,1.243804e-02,15771
289,2.606339e-03,16099
290,2.336736e-03,17663
291,1.230209e-03,18449
292,7.908046e-04,19485
293,1.237202e-03,19860
294,1.431845e-03,20758
295,8.644222e-04,21751
296,1.027216e-03,21869
297,1.075666e-03,22901
298,9.289690e-04,23482
299,8.399409e-04,25028
300,6.134021e-04,25460
301,7.657325e-04,25575
302,1.692999e-02,10000
303,7.859767e-04,25587
304,7.251305e-04,25685
305,7.897632e-04,24361
306,1.138557e-03,23751
307,8.544921e-04,22592
308,9.162091e-04,21491
309,8.336613e-04,20918
310,1.050546e-03,19995
311,1.047785e-03,18932
312,1.344073e-03,17967
313,1.452021e-03,17477
314,1.491176e-03,15943
315,3.059794e-03,15422
316,1.203977e-03,14536
317,8.952315e-04,13710
318,8.373853e-03,12701
319,1.953482e-03,12243
320,5.565865e-03,11447
321,5.069439e-03,10433
322,6.324292e-03,10000
323,2.529131e-02,10000
324,1.080670e-02,10000
325,3.492136e-03,10000
326,3.712077e-03,10000
327,1.109570e-02,10000
328,5.234534e-03,10000
329,3.190212e-02,10000
330,3.322430e-03,10000
331,2.314641e-02,10000
332,1.682835e-03,10000
333,1.901108e-02,10000
334,2.421843e-03,10000
335,2.384066e-03,10000
336,4.396038e-03,10000
337,2.041954e-03,10000
338,9.060995e-03,10000
339,7.590603e-03,10000
340,2.077006e-02,10000
341,4.065432e-03,10000
342,3.809288e-03,10000
343,6.127902e-03,10000
344,1.106963e-02,10000
345,2.277030e-02,10000
346,2.046044e-03,10000
347,9.174562e-03,10000
348,1.257018e-02,10000
349,3.888757e-03,10000
350,8.625149e-03,10000
351,6.954191e-02,10000
352,4.745759e-03,10000
353,2.713477e-02,10000
354,4.918365e-03,10000
355,1.196438e-02,10000
356,5.030582e-02,10000
357,7.234232e-02,10000
358,4.669529e-02,10000
359,1.031030e-01,10000
360,8.504259e-03,10000
361,2.762412e-02,10000
362,1.473089e+00,10000
363,1.473089e+00,10000
364,2.561792e-03,10000
365,2.483739e-03,10000
366,1.094075e-03,10000
367,8.677124e-04,10000
368,1.577474e-03,10000
369,2.189861e-03,10000
370,8.236756e-03,10198
371,2.646800e-03,11118
372,1.822479e-02,12193
373,2.611691e-02,13998
