index,APL,WCtime,RNGCalls,Estimated_Variance,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
0,0.000000e+00,4.807193e-03,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.953356e-310,2.092463e-317
1,4.651000e+01,1.951097e-01,9.302000e+03,3.304006e-03,-9.886941e-01,-9.885518e-01,4.382418e-03,1.295832e-04,-1.699789e-05,-1.699789e-05
2,1.115300e+02,5.831546e-01,2.230600e+04,9.587398e-03,-9.787756e-01,-9.483668e-01,1.007845e-02,4.761733e-04,-2.210039e-06,-2.210039e-06
3,1.276300e+02,5.750084e-01,2.552600e+04,1.131762e-02,-9.904952e-01,-9.702750e-01,1.135495e-02,2.542305e-04,1.685814e-05,1.685814e-05
4,1.422700e+02,6.635905e-01,2.845400e+04,1.486475e-02,-9.899445e-01,-9.609385e-01,1.577896e-02,3.056756e-04,5.740321e-05,5.740321e-05
5,1.440000e+02,6.765806e-01,2.880000e+04,1.453549e-02,-9.879192e-01,-9.496528e-01,1.451037e-02,3.846638e-04,5.407895e-05,5.407895e-05
6,1.163700e+02,4.935273e-01,2.327400e+04,1.243565e-02,-9.903781e-01,-9.548955e-01,1.521952e-02,4.019930e-04,9.052822e-05,9.052822e-05
7,7.704000e+01,4.393987e-01,1.540800e+04,8.007174e-03,-9.930644e-01,-9.694745e-01,1.585384e-02,3.392514e-04,9.571934e-05,9.571934e-05
8,7.318000e+01,4.388286e-01,1.463600e+04,6.405203e-03,-9.779458e-01,-9.416524e-01,6.273829e-03,2.802551e-04,1.040434e-04,1.040434e-04
9,3.307050e+02,2.941662e+00,1.322820e+05,3.208762e-02,-9.600780e-01,-9.082851e-01,2.813016e-02,2.239283e-03,5.103540e-05,5.103540e-05
10,4.932000e+01,2.917592e-01,9.864000e+03,3.050346e-03,-9.810266e-01,-9.543557e-01,3.850853e-03,2.586640e-04,1.531431e-04,1.531431e-04
11,1.062900e+02,5.162038e-01,2.125800e+04,5.741785e-03,-9.691812e-01,-8.855077e-01,6.092390e-03,4.314687e-04,1.512338e-04,1.512338e-04
12,1.098500e+02,6.040341e-01,2.197000e+04,5.491896e-03,-9.553982e-01,-8.508394e-01,3.383839e-03,4.533290e-04,1.627251e-04,1.627251e-04
13,1.377900e+02,7.583601e-01,2.755800e+04,6.119695e-03,-9.691531e-01,-8.689716e-01,6.093382e-03,4.509283e-04,1.537160e-04,1.537160e-04
14,1.652300e+02,6.732013e-01,3.304600e+04,7.743229e-03,-9.690054e-01,-9.296334e-01,9.715417e-03,9.620880e-04,2.026744e-04,2.026744e-04
15,1.397500e+02,7.191674e-01,2.795000e+04,7.030058e-03,-9.546082e-01,-8.762773e-01,5.527964e-03,9.106790e-04,1.992692e-04,1.992692e-04
16,8.240000e+01,4.885169e-01,1.648000e+04,5.697085e-03,-9.234515e-01,-8.901156e-01,2.690955e-03,6.876019e-04,1.585472e-04,1.585472e-04
17,5.821000e+01,3.814132e-01,1.164200e+04,3.664506e-03,-9.743020e-01,-9.389336e-01,4.557314e-03,4.103031e-04,1.475579e-04,1.475579e-04
18,4.037700e+02,3.392691e+00,1.615080e+05,3.757721e-02,-9.738883e-01,-9.484529e-01,3.603445e-02,2.546119e-03,9.510411e-05,9.510411e-05
19,4.944000e+01,3.513066e-01,9.888000e+03,5.470865e-03,-9.876115e-01,-9.524026e-01,8.004835e-03,2.414016e-04,8.433929e-05,8.433929e-05
20,1.241200e+02,6.642741e-01,2.482400e+04,1.117603e-02,-9.875544e-01,-9.393446e-01,1.381018e-02,6.443163e-04,4.680052e-05,4.680052e-05
21,1.195400e+02,6.413150e-01,2.390800e+04,9.351294e-03,-9.839086e-01,-9.506400e-01,1.423097e-02,6.077378e-04,5.025122e-05,5.025122e-05
22,1.501000e+02,8.190629e-01,3.002000e+04,1.155352e-02,-9.809632e-01,-9.352569e-01,1.294779e-02,6.151508e-04,5.792837e-05,5.792837e-05
23,1.368700e+02,7.134021e-01,2.737400e+04,8.707241e-03,-9.799251e-01,-9.033924e-01,1.009301e-02,7.052622e-04,9.604976e-06,9.604976e-06
24,1.093400e+02,6.562669e-01,2.186800e+04,6.553624e-03,-9.823350e-01,-9.034959e-01,7.885356e-03,5.338518e-04,5.193386e-05,5.193386e-05
25,8.760000e+01,5.486651e-01,1.752000e+04,4.636736e-03,-4.116022e-01,-3.900901e-01,6.022039e-03,3.375067e-04,1.411723e-02,4.803320e-05
26,5.949000e+01,3.997300e-01,1.189800e+04,3.236320e-03,-9.513610e-01,-8.178916e-01,2.922692e-03,4.332657e-04,4.205496e-05,4.205496e-05
27,3.746082e+02,1.879597e+01,8.241380e+05,2.716697e-02,-6.526680e-01,-5.932684e-01,2.011718e-02,1.193472e-02,2.392299e-03,-2.139620e-05
28,6.385000e+01,8.344158e-01,2.554000e+04,4.357012e-03,-7.467592e-01,-6.332345e-01,3.832963e-03,2.254342e-03,2.652302e-05,2.652302e-05
29,1.036350e+02,1.097544e+00,4.145400e+04,5.677877e-03,-8.919418e-01,-7.766770e-01,5.800327e-03,1.580315e-03,2.126525e-05,2.126525e-05
30,1.150100e+02,6.213178e-01,2.300200e+04,6.168970e-03,-9.322297e-01,-8.138781e-01,7.721148e-03,1.319812e-03,8.830850e-06,8.830850e-06
31,1.398400e+02,7.649227e-01,2.796800e+04,7.403293e-03,-9.653833e-01,-8.714298e-01,8.037782e-03,7.577807e-04,3.709618e-05,3.709618e-05
