index,APL,WCtime,RNGCalls,Estimated_Variance,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
0,0.000000e+00,1.122903e-02,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.390671e-309,1.390670e-309
1,6.875000e+01,7.393375e-01,2.750000e+04,6.071260e-03,-9.779163e-01,-9.509814e-01,6.239276e-03,3.046194e-04,1.031032e-05,1.031032e-05
2,9.049000e+01,1.080027e+00,3.619600e+04,7.332837e-03,-9.898323e-01,-9.742152e-01,1.036658e-02,2.498869e-04,2.127847e-05,2.127847e-05
3,1.230150e+02,1.303822e+00,4.920600e+04,9.926590e-03,-9.881219e-01,-9.611475e-01,1.227427e-02,3.598780e-04,-2.460453e-05,4.190144e-05
4,1.423200e+02,1.592763e+00,5.692800e+04,1.279660e-02,-9.912397e-01,-9.584088e-01,1.394365e-02,2.697755e-04,2.691441e-05,2.691441e-05
5,1.421850e+02,1.610942e+00,5.687400e+04,1.428891e-02,-9.893087e-01,-9.626190e-01,1.596838e-02,3.980117e-04,4.545032e-05,4.545032e-05
6,1.175800e+02,1.339707e+00,4.703200e+04,1.156735e-02,-9.897707e-01,-9.701799e-01,1.806162e-02,4.303917e-04,7.007253e-05,7.007253e-05
7,1.019950e+02,1.246699e+00,4.079800e+04,9.628438e-03,-9.889879e-01,-9.599099e-01,1.168397e-02,2.984242e-04,1.087229e-04,1.087229e-04
8,5.499000e+01,8.023746e-01,2.199600e+04,5.998786e-03,-9.818950e-01,-9.545113e-01,5.968876e-03,1.900997e-04,1.339003e-04,1.339003e-04
9,3.410850e+02,3.237229e+00,1.364340e+05,3.258594e-02,-9.698661e-01,-9.351575e-01,3.811524e-02,2.394348e-03,4.427260e-05,4.427260e-05
10,5.912500e+01,8.801392e-01,2.365000e+04,3.476829e-03,-9.595716e-01,-8.926469e-01,3.512857e-03,3.106363e-04,1.998214e-04,1.998214e-04
11,1.110600e+02,1.313173e+00,4.442400e+04,5.705253e-03,-9.791192e-01,-9.357901e-01,7.713666e-03,3.987820e-04,1.948077e-04,1.948077e-04
12,1.169750e+02,1.406747e+00,4.679000e+04,5.449685e-03,-9.688591e-01,-8.897918e-01,4.938143e-03,4.051166e-04,1.994631e-04,1.994631e-04
13,1.374150e+02,1.602409e+00,5.496600e+04,6.237704e-03,-9.651823e-01,-9.075038e-01,6.401740e-03,5.142890e-04,1.799290e-04,1.799290e-04
14,1.431450e+02,1.588460e+00,5.725800e+04,6.704571e-03,-9.528721e-01,-9.030497e-01,7.751045e-03,9.080031e-04,1.745439e-04,1.745439e-04
15,1.224200e+02,1.366705e+00,4.896800e+04,6.596214e-03,-9.497969e-01,-9.030325e-01,6.262392e-03,8.580702e-04,1.835056e-04,1.835056e-04
16,8.379000e+01,1.143917e+00,3.351600e+04,5.365750e-03,-9.509035e-01,-9.007507e-01,3.632591e-03,7.185273e-04,1.630377e-04,1.630377e-04
17,5.216500e+01,7.469150e-01,2.086600e+04,3.596789e-03,-9.356556e-01,-8.865870e-01,2.798041e-03,5.309617e-04,1.623787e-04,1.623787e-04
18,4.076050e+02,3.761757e+00,1.630420e+05,3.801698e-02,-9.706882e-01,-9.474669e-01,3.783029e-02,2.985554e-03,1.047131e-04,1.047131e-04
19,5.172000e+01,8.706686e-01,2.068800e+04,6.033377e-03,-9.797187e-01,-9.593338e-01,5.120263e-03,3.253541e-04,1.140805e-04,1.140805e-04
20,9.798500e+01,1.332857e+00,3.919400e+04,9.523932e-03,-9.838544e-01,-9.551559e-01,1.263514e-02,5.967316e-04,8.155251e-05,8.155251e-05
21,1.216700e+02,1.420409e+00,4.866800e+04,9.841807e-03,-9.753766e-01,-9.304633e-01,1.023699e-02,8.581921e-04,7.133671e-05,7.133671e-05
22,1.465200e+02,1.536105e+00,5.860800e+04,1.050702e-02,-9.827920e-01,-9.322332e-01,1.137725e-02,6.926521e-04,4.643427e-05,4.643427e-05
23,1.390500e+02,1.555424e+00,5.562000e+04,9.539162e-03,-9.775454e-01,-9.015159e-01,9.890264e-03,6.718964e-04,5.929501e-05,5.929501e-05
24,1.368200e+02,1.466169e+00,5.472800e+04,9.239235e-03,-9.841242e-01,-9.129869e-01,1.050647e-02,6.009227e-04,2.977536e-05,2.977536e-05
25,9.509500e+01,1.165375e+00,3.803800e+04,5.497603e-03,-9.794550e-01,-8.989769e-01,6.628094e-03,4.250588e-04,5.983817e-05,5.983817e-05
26,6.284000e+01,8.333680e-01,2.513600e+04,3.522895e-03,-9.769851e-01,-8.654200e-01,3.947092e-03,2.771070e-04,5.034318e-05,5.034318e-05
27,3.895700e+02,3.383544e+00,1.558280e+05,2.742639e-02,-7.653899e-01,-7.458148e-01,2.156758e-02,1.447413e-02,-1.986184e-06,-1.986184e-06
28,5.114500e+01,7.647978e-01,2.045800e+04,3.949934e-03,-7.113014e-01,-5.617729e-01,3.142948e-03,2.160244e-03,2.944771e-05,2.944771e-05
29,1.033850e+02,1.173992e+00,4.135400e+04,5.973168e-03,-8.878930e-01,-7.694763e-01,5.905927e-03,1.516178e-03,2.607898e-05,2.607898e-05
30,1.263900e+02,1.382789e+00,5.055600e+04,6.817827e-03,-9.315195e-01,-8.259599e-01,7.965318e-03,1.217862e-03,1.780375e-05,1.780375e-05
31,1.463800e+02,1.513277e+00,5.855200e+04,8.026910e-03,-9.323617e-01,-8.558308e-01,8.412918e-03,1.270546e-03,2.195062e-05,2.195062e-05
32,1.331650e+02,1.273813e+00,5.326600e+04,7.344253e-03,-9.691438e-01,-8.995749e-01,8.442991e-03,7.513361e-04,3.371312e-05,3.371312e-05
33,1.244600e+02,1.330059e+00,4.978400e+04,7.165579e-03,-9.688918e-01,-9.118610e-01,7.662545e-03,6.679431e-04,6.231302e-05,6.231302e-05
34,1.022200e+02,1.047018e+00,4.088800e+04,5.668380e-03,-9.795812e-01,-9.395558e-01,7.871419e-03,5.723221e-04,6.459629e-05,6.459629e-05
35,4.844000e+01,7.041776e-01,1.937600e+04,3.124146e-03,-9.534962e-01,-8.742586e-01,3.818723e-03,4.682240e-04,8.959916e-05,8.959916e-05
36,3.716250e+02,2.984781e+00,1.486500e+05,3.782318e-02,-9.605780e-01,-9.503671e-01,3.242540e-02,3.270533e-03,-1.170823e-04,-1.170823e-04
37,6.953000e+01,8.771839e-01,2.781200e+04,9.336246e-03,-9.767939e-01,-9.616725e-01,8.209222e-03,4.534164e-04,2.999901e-05,2.999901e-05
38,9.950000e+01,1.114064e+00,3.980000e+04,1.409905e-02,-9.781429e-01,-9.672940e-01,1.170613e-02,9.462700e-04,-5.206630e-05,-5.206630e-05
39,1.398000e+02,1.459058e+00,5.592000e+04,1.910258e-02,-9.775346e-01,-9.680968e-01,1.335493e-02,1.171316e-03,-6.646696e-05,-6.646696e-05
40,1.391100e+02,1.441222e+00,5.564400e+04,1.725614e-02,-9.830687e-01,-9.749840e-01,1.525448e-02,9.745694e-04,-1.464054e-04,-1.464054e-04
41,1.486000e+02,1.358110e+00,5.944000e+04,1.729325e-02,-9.825944e-01,-9.746994e-01,1.482450e-02,8.890908e-04,-1.875712e-04,-1.875712e-04
42,1.277550e+02,1.343412e+00,5.110200e+04,1.495580e-02,-9.818439e-01,-9.751369e-01,1.131857e-02,8.508487e-04,-2.809898e-04,-2.809898e-04
43,1.022250e+02,1.035036e+00,4.089000e+04,1.165773e-02,-9.801372e-01,-9.724166e-01,9.939327e-03,7.254573e-04,-2.874977e-04,-2.874977e-04
44,5.182000e+01,7.192181e-01,2.072800e+04,5.194779e-03,-9.532421e-01,-9.400295e-01,3.216893e-03,4.966875e-04,-3.360985e-04,-3.360985e-04
45,3.740800e+02,3.003873e+00,1.496320e+05,3.035472e-02,-9.635799e-01,-9.620060e-01,2.859860e-02,2.737340e-03,-7.847865e-05,-7.847865e-05
46,5.428500e+01,7.060780e-01,2.171400e+04,3.551594e-03,-9.551398e-01,-9.548595e-01,2.745840e-03,4.484427e-04,-3.625496e-04,-3.625496e-04
47,9.512000e+01,1.026986e+00,3.804800e+04,5.876789e-03,-9.748976e-01,-9.730007e-01,5.566486e-03,5.175099e-04,-3.032176e-04,-3.032176e-04
48,1.296450e+02,1.294955e+00,5.185800e+04,8.617634e-03,-9.797138e-01,-9.759844e-01,8.050335e-03,5.389239e-04,-2.533465e-04,-2.533465e-04
49,1.486500e+02,1.432826e+00,5.946000e+04,1.049414e-02,-9.791304e-01,-9.753046e-01,8.708177e-03,6.728063e-04,-2.605787e-04,-2.605787e-04
50,1.521600e+02,1.285639e+00,6.086400e+04,1.137847e-02,-9.793129e-01,-9.775405e-01,1.075286e-02,7.478925e-04,-2.637671e-04,-2.637671e-04
51,1.147200e+02,1.052839e+00,4.588800e+04,1.059369e-02,-9.848748e-01,-9.840822e-01,7.954246e-03,4.688954e-04,-2.096373e-04,-2.096373e-04
52,8.902000e+01,7.224342e-01,3.560800e+04,8.437113e-03,-9.862712e-01,-9.858622e-01,6.956683e-03,3.506604e-04,-1.884627e-04,-1.884627e-04
53,6.460500e+01,5.511055e-01,2.584200e+04,6.234383e-03,-9.837902e-01,-9.839471e-01,4.642905e-03,3.010957e-04,-2.038114e-04,-2.038114e-04
54,0.000000e+00,1.132881e-02,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,-2.331888e-04,-2.331888e-04
55,0.000000e+00,1.255013e-02,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,-2.331888e-04,-2.331888e-04
56,5.952000e+01,5.575853e-01,2.380800e+04,3.384240e-02,-9.819729e-01,-9.786820e-01,3.521595e-02,1.355167e-03,-4.213802e-04,-4.213802e-04
57,1.000000e+02,9.552273e-01,4.000000e+04,5.445622e-02,-9.902508e-01,-9.825750e-01,5.414570e-02,1.163495e-03,-3.153522e-04,-3.283721e-04
58,1.295100e+02,1.113488e+00,5.180400e+04,6.693498e-02,-9.947068e-01,-9.909903e-01,7.587157e-02,8.511185e-04,-2.633703e-04,-2.633703e-04
59,1.384100e+02,1.336291e+00,5.536400e+04,7.420393e-02,-9.930494e-01,-9.871065e-01,7.909783e-02,1.103663e-03,-1.824399e-04,-1.824399e-04
60,1.641300e+02,1.409862e+00,6.565200e+04,8.460039e-02,-9.952828e-01,-9.897088e-01,7.853320e-02,9.322241e-04,-1.283711e-04,-1.283711e-04
61,1.460850e+02,1.436915e+00,5.843400e+04,7.468592e-02,-9.939712e-01,-9.885699e-01,6.841067e-02,1.069946e-03,-5.510551e-05,-5.510551e-05
62,8.983000e+01,9.056524e-01,3.593200e+04,4.355777e-02,-9.945882e-01,-9.894044e-01,4.406038e-02,6.012061e-04,1.898045e-05,1.898045e-05
63,5.044000e+01,7.051322e-01,2.017600e+04,2.229192e-02,-9.957429e-01,-9.926879e-01,3.695240e-02,4.627541e-04,4.687862e-05,4.687862e-05
64,3.415250e+02,2.780550e+00,1.366100e+05,1.119396e-01,-9.796844e-01,-9.609430e-01,1.267297e-01,5.546599e-03,-3.852757e-05,-3.852757e-05
65,5.692000e+01,7.337475e-01,2.276800e+04,9.798848e-03,-9.888269e-01,-8.790821e-01,1.229944e-02,4.188000e-04,1.469343e-04,1.469343e-04
66,9.999500e+01,1.017678e+00,3.999800e+04,1.374392e-02,-9.882519e-01,-9.405964e-01,1.841729e-02,6.760187e-04,1.546762e-04,1.546762e-04
67,1.172600e+02,1.143666e+00,4.690400e+04,1.345176e-02,-9.895164e-01,-8.414834e-01,1.626616e-02,6.553273e-04,1.615892e-04,1.615892e-04
68,1.458800e+02,1.336385e+00,5.835200e+04,1.603221e-02,-9.751856e-01,-6.880704e-01,1.702699e-02,1.526001e-03,1.599939e-04,1.599939e-04
69,1.445700e+02,1.220251e+00,5.782800e+04,1.361952e-02,-9.746277e-01,-7.128233e-01,1.310649e-02,9.059002e-04,1.417118e-04,1.417118e-04
70,1.234100e+02,1.180085e+00,4.936400e+04,1.129711e-02,-9.495859e-01,-5.780852e-01,9.786336e-03,1.374135e-03,1.319625e-04,1.319625e-04
71,1.079050e+02,9.957897e-01,4.316200e+04,1.000066e-02,-9.472914e-01,-5.962001e-01,8.505256e-03,1.471235e-03,1.233395e-04,1.233395e-04
72,5.499500e+01,7.081517e-01,2.199800e+04,4.714546e-03,-9.092866e-01,-4.458887e-01,4.106754e-03,8.958635e-04,7.365455e-05,7.365455e-05
73,4.149450e+02,2.988198e+00,1.659780e+05,5.740487e-02,-8.316863e-01,-8.293581e-01,3.574635e-02,1.493901e-02,9.401548e-05,9.401548e-05
74,6.025500e+01,7.547091e-01,2.410200e+04,9.553943e-03,-8.556240e-01,-4.049597e-01,6.367965e-03,2.807464e-03,3.587163e-05,3.587163e-05
75,8.032500e+01,8.949212e-01,3.213000e+04,1.262814e-02,-8.460603e-01,-3.829563e-01,8.207842e-03,4.751412e-03,1.131018e-05,1.131018e-05
76,1.345850e+02,1.263078e+00,5.383400e+04,2.575037e-02,-8.372370e-01,-5.884547e-01,1.887963e-02,8.605263e-03,2.430268e-05,2.430268e-05
77,1.460200e+02,1.367054e+00,5.840800e+04,3.091801e-02,-7.778373e-01,-4.858184e-01,1.340965e-02,9.736199e-03,-2.489749e-05,-2.489749e-05
78,1.399100e+02,1.177156e+00,5.596400e+04,2.638606e-02,-7.476789e-01,-6.345457e-01,1.440912e-02,1.371394e-02,-8.208248e-05,-8.208248e-05
79,1.257600e+02,1.206077e+00,5.030400e+04,1.838669e-02,-7.942111e-01,-6.379833e-01,1.383110e-02,8.310514e-03,-6.725979e-05,-6.725979e-05
80,9.414000e+01,9.091600e-01,3.765600e+04,1.176261e-02,-8.026017e-01,-5.245352e-01,8.170665e-03,6.008803e-03,-1.285659e-04,-1.285659e-04
81,5.849500e+01,7.392204e-01,2.339800e+04,6.272162e-03,-8.042019e-01,-5.689947e-01,3.166696e-03,1.690385e-03,-1.200987e-04,-1.200987e-04
82,3.577200e+02,2.616426e+00,1.430880e+05,3.143349e-02,-9.226599e-01,-8.342907e-01,2.278887e-02,6.052238e-03,1.841504e-05,1.841504e-05
83,4.778500e+01,6.558056e-01,1.911400e+04,1.528012e-03,-9.445612e-01,-7.104824e-01,8.613596e-04,2.558213e-04,-1.201638e-04,-1.201638e-04
84,9.472000e+01,9.979666e-01,3.788800e+04,2.529787e-03,-9.486315e-01,-7.684236e-01,1.325222e-03,4.140082e-04,-9.337527e-05,-9.337527e-05
