index,x,y,sten
203,4.000,2.000,north
398,4.100,2.000,north
399,4.200,2.000,north
400,4.300,2.000,north
401,4.400,2.000,north
402,4.500,2.000,north
403,4.600,2.000,north
404,4.700,2.000,north
405,4.800,2.000,north
406,4.900,2.000,north
264,5.000,2.000,north
407,5.100,2.000,north
408,5.200,2.000,north
409,5.300,2.000,north
410,5.400,2.000,north
411,5.500,2.000,north
412,5.600,2.000,north
413,5.700,2.000,north
414,5.800,2.000,north
415,5.900,2.000,north
416,6.000,2.000,north
183,4.000,0.000,west
184,4.000,0.100,west
185,4.000,0.200,west
186,4.000,0.300,west
187,4.000,0.400,west
188,4.000,0.500,west
189,4.000,0.600,west
190,4.000,0.700,west
191,4.000,0.800,west
192,4.000,0.900,west
193,4.000,1.000,west
194,4.000,1.100,west
195,4.000,1.200,west
196,4.000,1.300,west
197,4.000,1.400,west
198,4.000,1.500,west
199,4.000,1.600,west
200,4.000,1.700,west
201,4.000,1.800,west
202,4.000,1.900,west
203,4.000,2.000,west
