Knot_index,x,y,sol_analytic,sol_PDDS_GM,sol_PDDS_EM,err,rerr,sbias
0,-2.000000e+01,-3.000000e+01,2.946097e+00,2.946097e+00,2.946097e+00,4.440892e-16,1.507382e-16,4.440892e-16
1,-2.000000e+01,-2.888889e+01,2.951929e+00,2.949656e+00,2.948537e+00,-2.272912e-03,7.699752e-04,1.119828e-03
2,-2.000000e+01,-2.777778e+01,2.962275e+00,2.958484e+00,2.952598e+00,-3.790478e-03,1.279583e-03,5.886181e-03
3,-2.000000e+01,-2.666667e+01,2.977084e+00,2.963646e+00,2.958642e+00,-1.343773e-02,4.513723e-03,5.004289e-03
4,-2.000000e+01,-2.555556e+01,2.996108e+00,2.989133e+00,2.978189e+00,-6.975788e-03,2.328283e-03,1.094347e-02
5,-2.000000e+01,-2.444444e+01,3.018908e+00,3.010711e+00,2.998274e+00,-8.196996e-03,2.715219e-03,1.243682e-02
6,-2.000000e+01,-2.333333e+01,3.044857e+00,3.036649e+00,2.997390e+00,-8.207653e-03,2.695580e-03,3.925899e-02
7,-2.000000e+01,-2.222222e+01,3.073147e+00,3.057237e+00,3.042135e+00,-1.591070e-02,5.177331e-03,1.510164e-02
8,-2.000000e+01,-2.111111e+01,3.102793e+00,3.089837e+00,3.072487e+00,-1.295581e-02,4.175533e-03,1.735054e-02
9,-2.000000e+01,-2.000000e+01,3.132616e+00,3.118559e+00,3.105139e+00,-1.405677e-02,4.487231e-03,1.342009e-02
10,-2.000000e+01,-1.888889e+01,3.161228e+00,3.144813e+00,3.125955e+00,-1.641427e-02,5.192372e-03,1.885843e-02
11,-2.000000e+01,-1.777778e+01,3.187007e+00,3.170963e+00,3.150829e+00,-1.604406e-02,5.034207e-03,2.013370e-02
12,-2.000000e+01,-1.666667e+01,3.208090e+00,3.187384e+00,3.152532e+00,-2.070616e-02,6.454356e-03,3.485229e-02
13,-2.000000e+01,-1.555556e+01,3.222414e+00,3.198906e+00,3.178863e+00,-2.350767e-02,7.295051e-03,2.004276e-02
14,-2.000000e+01,-1.444444e+01,3.227885e+00,3.202933e+00,3.181565e+00,-2.495198e-02,7.730132e-03,2.136788e-02
15,-2.000000e+01,-1.333333e+01,3.222764e+00,3.195794e+00,3.175799e+00,-2.697070e-02,8.368810e-03,1.999422e-02
16,-2.000000e+01,-1.222222e+01,3.206285e+00,3.170759e+00,3.150033e+00,-3.552571e-02,1.108002e-02,2.072640e-02
17,-2.000000e+01,-1.111111e+01,3.179361e+00,3.147345e+00,3.124741e+00,-3.201609e-02,1.006998e-02,2.260434e-02
18,-2.000000e+01,-1.000000e+01,3.144926e+00,3.118477e+00,3.095528e+00,-2.644930e-02,8.410149e-03,2.294860e-02
