Node_i, Node_x, Node_y,sol_analytic,sol_PDDS,err
0,1,0,2.17074,2.17074,0
1,1,0.1,2.36941,2.36491,0.00189958
2,1,0.2,2.56016,2.53117,0.0113208
3,1,0.3,2.73538,2.73977,0.00160594
4,1,0.4,2.88809,2.89789,0.00339339
5,1,0.5,3.01221,3.04442,0.0106945
6,1,0.6,3.10278,3.07404,0.00925981
7,1,0.7,3.15619,3.16724,0.00350347
8,1,0.8,3.17031,3.17877,0.00266739
9,1,0.9,3.14458,3.1558,0.00356712
10,1,1,3.08003,3.07211,0.00257319
11,1,1.1,2.97923,2.96706,0.00408617
12,1,1.2,2.8462,2.84178,0.00155162
13,1,1.3,2.68624,2.71035,0.00897478
14,1,1.4,2.50573,2.53326,0.0109882
15,1,1.5,2.31186,2.34978,0.0164024
16,1,1.6,2.11236,2.07544,0.0174782
17,1,1.7,1.9152,1.88664,0.0149077
18,1,1.8,1.72822,1.70493,0.0134739
19,1,1.9,1.55888,1.57482,0.0102242
20,1,2,1.41393,1.40481,0.00645438
21,1,2.1,1.29916,1.30556,0.00492726
22,1,2.2,1.21914,1.19405,0.0205778
23,1,2.3,1.17705,1.1845,0.00633354
24,1,2.4,1.17457,1.15986,0.0125243
25,1,2.5,1.21181,1.21153,0.000229504
26,1,2.6,1.28728,1.28893,0.00127786
27,1,2.7,1.39797,1.38675,0.00803008
28,1,2.8,1.53947,1.50693,0.0211357
29,1,2.9,1.70613,1.69126,0.00871809
30,1,3,1.89132,1.86825,0.0121957
31,1,3.1,2.08765,2.06457,0.0110549
32,1,3.2,2.28729,2.29948,0.0053317
33,1,3.3,2.48228,2.44343,0.0156506
34,1,3.4,2.66485,2.67767,0.00481078
35,1,3.5,2.82772,2.79716,0.0108084
36,1,3.6,2.9644,2.97374,0.00315073
37,1,3.7,3.06944,3.05844,0.00358438
38,1,3.8,3.13866,3.14051,0.000590073
39,1,3.9,3.16928,3.15926,0.00316161
40,1,4,3.1601,3.14491,0.0048058
41,1,4.1,3.11147,3.11846,0.00224575
42,1,4.2,3.02534,3.00639,0.00626266
43,1,4.3,2.90513,2.89798,0.00246401
44,1,4.4,2.75565,2.77091,0.00553536
45,1,4.5,2.58286,2.58066,0.000851265
46,1,4.6,2.39363,2.42003,0.0110298
47,1,4.7,2.19551,2.2074,0.00541219
