Knot_index,x,y,sol_analytic,sol_PDDS_GM,sol_PDDS_EM,err,rerr,sbias
0,-2.000000e+01,-3.000000e+01,2.946097e+00,2.946097e+00,2.946097e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,-2.000000e+01,-2.888889e+01,2.951929e+00,2.950645e+00,2.941755e+00,-1.284014e-03,4.349744e-04,8.890140e-03
2,-2.000000e+01,-2.777778e+01,2.962275e+00,2.947593e+00,2.868128e+00,-1.468212e-02,4.956367e-03,7.946475e-02
3,-2.000000e+01,-2.666667e+01,2.977084e+00,2.960747e+00,2.945067e+00,-1.633667e-02,5.487473e-03,1.568040e-02
4,-2.000000e+01,-2.555556e+01,2.996108e+00,2.987028e+00,2.967552e+00,-9.080077e-03,3.030624e-03,1.947627e-02
5,-2.000000e+01,-2.444444e+01,3.018908e+00,3.002716e+00,2.970919e+00,-1.619262e-02,5.363733e-03,3.179676e-02
6,-2.000000e+01,-2.333333e+01,3.044857e+00,3.037616e+00,3.004109e+00,-7.240298e-03,2.377878e-03,3.350707e-02
7,-2.000000e+01,-2.222222e+01,3.073147e+00,3.053472e+00,3.020048e+00,-1.967508e-02,6.402256e-03,3.342409e-02
8,-2.000000e+01,-2.111111e+01,3.102793e+00,3.081277e+00,3.039886e+00,-2.151582e-02,6.934339e-03,4.139150e-02
9,-2.000000e+01,-2.000000e+01,3.132616e+00,3.118665e+00,3.075903e+00,-1.395092e-02,4.453442e-03,4.276220e-02
10,-2.000000e+01,-1.888889e+01,3.161228e+00,3.139060e+00,3.091677e+00,-2.216740e-02,7.012274e-03,4.738310e-02
11,-2.000000e+01,-1.777778e+01,3.187007e+00,3.163925e+00,3.117273e+00,-2.308231e-02,7.242627e-03,4.665159e-02
12,-2.000000e+01,-1.666667e+01,3.208090e+00,3.181222e+00,3.127713e+00,-2.686769e-02,8.374980e-03,5.350946e-02
13,-2.000000e+01,-1.555556e+01,3.222414e+00,3.190531e+00,3.125269e+00,-3.188249e-02,9.893979e-03,6.526188e-02
14,-2.000000e+01,-1.444444e+01,3.227885e+00,3.202412e+00,3.146241e+00,-2.547368e-02,7.891755e-03,5.617027e-02
15,-2.000000e+01,-1.333333e+01,3.222764e+00,3.203979e+00,3.143601e+00,-1.878544e-02,5.828984e-03,6.037830e-02
16,-2.000000e+01,-1.222222e+01,3.206285e+00,3.166302e+00,3.097616e+00,-3.998263e-02,1.247008e-02,6.868588e-02
17,-2.000000e+01,-1.111111e+01,3.179361e+00,3.139530e+00,3.084016e+00,-3.983087e-02,1.252795e-02,5.551422e-02
18,-2.000000e+01,-1.000000e+01,3.144926e+00,3.120048e+00,3.068069e+00,-2.487783e-02,7.910464e-03,5.197992e-02
19,-2.000000e+01,-8.888889e+00,3.107428e+00,3.075026e+00,3.009787e+00,-3.240151e-02,1.042712e-02,6.523948e-02
20,-2.000000e+01,-7.777778e+00,3.071487e+00,3.033809e+00,2.978622e+00,-3.767870e-02,1.226725e-02,5.518643e-02
21,-2.000000e+01,-6.666667e+00,3.040481e+00,3.016505e+00,2.950925e+00,-2.397623e-02,7.885672e-03,6.557940e-02
22,-2.000000e+01,-5.555556e+00,3.015867e+00,2.983386e+00,2.931476e+00,-3.248023e-02,1.076978e-02,5.191090e-02
23,-2.000000e+01,-4.444444e+00,2.997433e+00,2.967637e+00,2.908817e+00,-2.979669e-02,9.940735e-03,5.881953e-02
