I1_i,I1_x,I1_y,I1_a,I1_PDDS,I2_i,I2_x,I2_y,I2_a,I2_PDDS,I3_i,I3_x,I3_y,I3_a,I3_PDDS,I4_i,I4_x,I4_y,I4_a,I4_PDDS,I5_i,I5_x,I5_y,I5_a,I5_PDDS,I6_i,I6_x,I6_y,I6_a,I6_PDDS,I7_i,I7_x,I7_y,I7_a,I7_PDDS,I8_i,I8_x,I8_y,I8_a,I8_PDDS,I9_i,I9_x,I9_y,I9_a,I9_PDDS,I10_i,I10_x,I10_y,I10_a,I10_PDDS
0,-4,-5,1.636408,1.636408,10,-4,-4,2.361604,2.334479,20,-4,-3,1.68314,1.648119,30,-4,-2,2.234651,2.195649,40,-4,-1,1.875302,1.831302,50,-4,0,2,1.949958,60,-4,1,2.124698,2.08052,70,-4,2,1.765349,1.72198,80,-4,3,2.31686,2.282781,90,-4,4,1.638396,1.617091
1,-4,-4.9,1.66642,1.665312,11,-4,-3.9,2.366598,2.339699,21,-4,-2.9,1.64373,1.605777,31,-4,-1.9,2.303817,2.263922,41,-4,-0.9,1.784559,1.734192,51,-4,0.1,2.101592,2.051748,61,-4,1.1,2.024269,1.973873,71,-4,2.1,1.852739,1.806738,81,-4,3.1,2.25284,2.215219,91,-4,4.1,1.671475,1.654221
2,-4,-4.8,1.722342,1.716269,12,-4,-3.8,2.343118,2.316687,22,-4,-2.8,1.631992,1.592969,32,-4,-1.8,2.349386,2.303544,42,-4,-0.8,1.710548,1.658071,52,-4,0.2,2.195294,2.139373,62,-4,1.2,1.921955,1.871585,72,-4,2.2,1.951568,1.90752,82,-4,3.2,2.169183,2.135422,92,-4,4.2,1.730071,1.715772
3,-4,-4.7,1.799828,1.791083,13,-4,-3.7,2.292989,2.263345,23,-4,-2.7,1.648836,1.609383,33,-4,-1.7,2.367818,2.320407,43,-4,-0.7,1.659019,1.605919,53,-4,0.3,2.273828,2.22563,63,-4,1.3,1.825703,1.777498,73,-4,2.3,2.054158,2.008498,83,-4,3.3,2.072385,2.038919,93,-4,4.3,1.809631,1.795096
4,-4,-4.6,1.892862,1.882106,14,-4,-3.6,2.220104,2.189806,24,-4,-2.6,1.692955,1.652505,34,-4,-1.6,2.357681,2.311575,44,-4,-0.6,1.633973,1.583904,54,-4,0.4,2.331093,2.277849,64,-4,1.4,1.742988,1.695568,74,-4,2.4,2.152542,2.106586,84,-4,3.4,1.969964,1.937612,94,-4,4.4,1.903978,1.887847
5,-4,-4.5,1.994218,1.976164,15,-4,-3.5,2.130123,2.098373,25,-4,-2.5,1.760922,1.724244,35,-4,-1.5,2.319765,2.272626,45,-4,-0.5,1.637357,1.584627,55,-4,0.5,2.362643,2.30558,65,-4,1.5,1.680235,1.629449,75,-4,2.5,2.239078,2.195838,85,-4,3.5,1.869877,1.840752,95,-4,4.5,2.005782,1.997022
6,-4,-4.4,2.096022,2.084573,16,-4,-3.4,2.030036,1.995545,26,-4,-2.4,1.847458,1.808239,36,-4,-1.4,2.257012,2.206527,46,-4,-0.4,1.668907,1.619223,56,-4,0.6,2.366027,2.315079,66,-4,1.6,1.642319,1.59512,76,-4,2.6,2.307045,2.263953,86,-4,3.6,1.779896,1.753601,96,-4,4.6,2.107138,2.104084
7,-4,-4.3,2.190369,2.168899,17,-4,-3.3,1.927615,1.896547,27,-4,-2.3,1.945842,1.901937,37,-4,-1.3,2.174297,2.129724,47,-4,-0.3,1.726172,1.673016,57,-4,0.7,2.340981,2.290026,67,-4,1.7,1.632182,1.584652,77,-4,2.7,2.351164,2.311853,87,-4,3.7,1.707011,1.684228,97,-4,4.7,2.200172,2.194815
8,-4,-4.2,2.269929,2.247268,18,-4,-3.2,1.830817,1.797079,28,-4,-2.2,2.048432,2.008202,38,-4,-1.2,2.078045,2.02886,48,-4,-0.2,1.804706,1.753112,58,-4,0.8,2.289452,2.238266,68,-4,1.8,1.650614,1.608748,78,-4,2.8,2.368008,2.329367,88,-4,3.8,1.656882,1.636332,98,-4,4.8,2.277658,2.270899
9,-4,-4.1,2.328525,2.302538,19,-4,-3.1,1.74716,1.710615,29,-4,-2.1,2.147261,2.105627,39,-4,-1.1,1.975731,1.929056,49,-4,-0.1,1.898408,1.84898,59,-4,0.9,2.215441,2.16841,69,-4,1.9,1.696183,1.6499,79,-4,2.9,2.35627,2.318849,89,-4,3.9,1.633402,1.612929,99,-4,4.9,2.33358,2.330922
10,-4,-4,2.361604,2.334479,20,-4,-3,1.68314,1.648119,30,-4,-2,2.234651,2.195649,40,-4,-1,1.875302,1.831302,50,-4,0,2,1.949958,60,-4,1,2.124698,2.08052,70,-4,2,1.765349,1.72198,80,-4,3,2.31686,2.282781,90,-4,4,1.638396,1.617091,100,-4,5,2.363592,2.363592
