index,x,y
0,1.000,0.000 
1,1.000,0.100 
2,1.000,0.200 
3,1.000,0.300 
4,1.000,0.400 
5,1.000,0.500 
6,1.000,0.600 
7,1.000,0.700 
8,1.000,0.800 
9,1.000,0.900 
10,1.000,1.000 
11,1.000,1.100 
12,1.000,1.200 
13,1.000,1.300 
14,1.000,1.400 
15,1.000,1.500 
16,1.000,1.600 
17,1.000,1.700 
18,1.000,1.800 
19,1.000,1.900 
20,1.000,2.000 
21,1.000,2.100 
22,1.000,2.200 
23,1.000,2.300 
24,1.000,2.400 
25,1.000,2.500 
26,1.000,2.600 
27,1.000,2.700 
28,1.000,2.800 
29,1.000,2.900 
30,1.000,3.000 
31,1.000,3.100 
32,1.000,3.200 
33,1.000,3.300 
34,1.000,3.400 
35,1.000,3.500 
36,1.000,3.600 
37,1.000,3.700 
38,1.000,3.800 
39,1.000,3.900 
40,1.000,4.000 
41,1.000,4.100 
42,1.000,4.200 
43,1.000,4.300 
44,1.000,4.400 
45,1.000,4.500 
46,1.000,4.600 
47,1.000,4.700 
48,1.000,4.800 
49,1.000,4.900 
50,1.000,5.000 
51,1.000,5.100 
52,1.000,5.200 
53,1.000,5.300 
54,1.000,5.400 
55,1.000,5.500 
56,1.000,5.600 
57,1.000,5.700 
58,1.000,5.800 
59,1.000,5.900 
60,1.000,6.000 
61,1.000,6.100 
62,1.000,6.200 
63,1.000,6.300 
64,1.000,6.400 
65,1.000,6.500 
66,1.000,6.600 
67,1.000,6.700 
68,1.000,6.800 
69,1.000,6.900 
70,1.000,7.000 
71,1.000,7.100 
72,1.000,7.200 
73,1.000,7.300 
74,1.000,7.400 
75,1.000,7.500 
76,1.000,7.600 
77,1.000,7.700 
78,1.000,7.800 
79,1.000,7.900 
80,1.000,8.000 
81,1.000,8.100 
82,1.000,8.200 
83,1.000,8.300 
84,1.000,8.400 
85,1.000,8.500 
86,1.000,8.600 
87,1.000,8.700 
88,1.000,8.800 
89,1.000,8.900 
90,1.000,9.000 
91,1.000,9.100 
92,1.000,9.200 
93,1.000,9.300 
94,1.000,9.400 
95,1.000,9.500 
96,1.000,9.600 
97,1.000,9.700 
98,1.000,9.800 
99,1.000,9.900 
100,1.000,10.000 
101,2.000,0.000 
102,2.000,0.100 
