Node_i, Node_x, Node_y,sol_analytic,sol_PDDS,err,rerr
0,1,0,2.53862,2.53862,0,0
1,1,0.1,2.73729,2.73284,0.0044415,0.00162259
2,1,0.2,2.92803,2.91747,0.0105662,0.00360864
3,1,0.3,3.10326,3.08627,0.016988,0.00547426
4,1,0.4,3.25597,3.23707,0.018899,0.0058044
5,1,0.5,3.38009,3.35801,0.0220785,0.00653194
6,1,0.6,3.47066,3.4446,0.0260599,0.00750863
7,1,0.7,3.52407,3.49827,0.025795,0.00731966
8,1,0.8,3.53819,3.51575,0.0224419,0.00634275
9,1,0.9,3.51246,3.49643,0.0160341,0.00456492
10,1,1,3.44791,3.44814,0.000227213,6.58987e-05
11,1,1.1,3.34711,3.33191,0.0152047,0.00454262
12,1,1.2,3.21408,3.19206,0.022017,0.00685017
13,1,1.3,3.05412,3.02955,0.0245636,0.00804276
14,1,1.4,2.8736,2.84914,0.0244629,0.00851298
15,1,1.5,2.67974,2.65752,0.0222197,0.00829173
16,1,1.6,2.48024,2.46221,0.0180361,0.00727192
17,1,1.7,2.28308,2.27159,0.0114827,0.0050295
18,1,1.8,2.0961,2.08701,0.00908542,0.00433445
19,1,1.9,1.92676,1.92236,0.00440192,0.00228463
20,1,2,1.78181,1.78181,0,0
21,0,1,4.37718,4.37718,0,0
22,0.1,1,4.36595,4.3567,0.00924778,0.00211816
23,0.2,1,4.33251,4.31704,0.0154777,0.00357244
24,0.3,1,4.27762,4.2567,0.020925,0.00489175
25,0.4,1,4.20251,4.17483,0.0276852,0.00658777
26,0.5,1,4.10887,4.07891,0.0299602,0.00729159
27,0.6,1,3.99879,3.9656,0.0331841,0.00829853
28,0.7,1,3.87475,3.84427,0.0304754,0.00786513
29,0.8,1,3.73953,3.71259,0.0269406,0.00720426
30,0.9,1,3.59618,3.57807,0.0181177,0.00503803
31,1.1,1,3.29806,3.28,0.0180581,0.00547537
32,1.2,1,3.14997,3.12735,0.0226235,0.00718213
33,1.3,1,3.007,2.98356,0.023432,0.0077925
34,1.4,1,2.87233,2.85252,0.0198054,0.00689525
35,1.5,1,2.749,2.73043,0.0185707,0.00675542
36,1.6,1,2.63978,2.625,0.0147865,0.0056014
37,1.7,1,2.54712,2.53589,0.0112369,0.00441161
38,1.8,1,2.4731,2.46736,0.00574112,0.00232142
39,1.9,1,2.41939,2.41579,0.00359511,0.00148596
40,2,1,2.38718,2.38718,0,0
